"Title","Employment by ethnicity (White and Other)"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","January 2004"

"Ethnicity","%","Employed people"
"All","74","29,478,000"
"White","76","25,790,000"
"Other","64","3,664,000"
