"Title","Employment among 16 to 24 year olds by ethnicity over time"
"Location","England, Wales and Scotland"
"Time period","2004 to 2017"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/home/release_group.asp?g=16"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","December 2017"

"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","%","%","%","%","%","%","%","%","%","%","%","%","%","%"
"All","60","59","58","57","56","53","50","49","50","50","51","54","54","54"
"Asian","37","36","39","35","37","33","30","N/A","31","28","30","33","31","34"
"Indian","44","42","47","45","42","37","38","N/A","41","33","34","35","35","44"
"Pakistani and Bangladeshi","33","35","36","30","34","32","30","N/A","30","28","32","35","32","32"
"Asian other inc Chinese","34","32","32","31","33","28","22","N/A","23","24","24","27","27","29"
"Black","36","35","38","38","31","28","27","N/A","27","27","31","32","38","35"
"Mixed","49","46","49","49","44","41","36","N/A","41","43","43","42","39","48"
"White","63","62","61","61","60","56","54","N/A","53","54","55","58","58","58"
"White British","63","62","61","61","59","56","54","N/A","53","54","55","58","58","59"
"White other","56","62","65","61","63","57","55","N/A","48","51","49","55","56","55"
"Other","36","36","34","37","37","30","29","N/A","?","?","26","34","33","30"
