"Title","Incidents of self-harm by young people in custody by ethnicity"
"Location","England and Wales"
"Time period","2016/17"
"Data source","Youth Justice Statistics Supplementary Tables 8.11"
"Data source link","https://www.gov.uk/government/statistics/youth-justice-annual-statistics-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","25/01/2018"

"Ethnicity","Rate","Average population per month","Average number of self harm incidents per month"
"White","12.8","653.7","83.6"
"Other than White","4.4","509.0","22.5"
