"","All ethnic groups","","Asian","","Black","","Mixed","","White","","Other",""
"Type of transport","% 2002/06","% 20011/15","% 2002/06","% 20011/15","% 2002/06","% 20011/15","% 2002/06","% 20011/15","% 2002/06","% 20011/15","% 2002/06","% 20011/15"
"Bicycle","2","2","!","!","!","!","!","!","2","2","!","!"
"Car / Van","32","35","34","37","19","21","31","29","33","36","!","!"
"Local bus","13","14","13","15","32","31","18","20","12","12","!","33"
"Other","1","2","!","!","!","!","!","!","1","2","!","!"
"Private bus","5","4","!","!","!","!","!","!","5","5","!","!"
"Surface Rail","1","1","!","!","!","!","!","!","1","1","!","!"
"Walk","45","42","47","42","42","41","45","44","45","42","49","38"
