"Title","Reading attainment for children aged 10 to 11 by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2017-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"Standard Ethnicity","Local authority","%"
"All","Barking and Dagenham","72"
"All","Barnet","78"
"All","Barnsley","68"
"All","Bath and North East Somerset","78"
"All","Bedford","66"
"All","Bexley","75"
"All","Birmingham","66"
"All","Blackburn with Darwen","68"
"All","Blackpool","72"
"All","Bolton","69"
"All","Bournemouth","71"
"All","Bracknell Forest","71"
"All","Bradford","66"
"All","Brent","69"
"All","Brighton and Hove","77"
"All","Bristol, City of","72"
"All","Bromley","84"
"All","Buckinghamshire","77"
"All","Bury","72"
"All","Calderdale","71"
"All","Cambridgeshire","73"
"All","Camden","76"
"All","Central Bedfordshire","72"
"All","Cheshire East","76"
"All","Cheshire West and Chester","74"
"All","City of London","88"
"All","Cornwall","72"
"All","County Durham","73"
"All","Coventry","68"
"All","Croydon","73"
"All","Cumbria","74"
"All","Darlington","72"
"All","Derby","65"
"All","Derbyshire","71"
"All","Devon","75"
"All","Doncaster","63"
"All","Dorset","73"
"All","Dudley","66"
"All","Ealing","73"
"All","East Riding of Yorkshire","73"
"All","East Sussex","71"
"All","Enfield","67"
"All","Essex","74"
"All","Gateshead","77"
"All","Gloucestershire","75"
"All","Greenwich","78"
"All","Hackney","78"
"All","Halton","69"
"All","Hammersmith and Fulham","82"
"All","Hampshire","76"
"All","Haringey","72"
"All","Harrow","77"
"All","Hartlepool","72"
"All","Havering","80"
"All","Herefordshire, County of","73"
"All","Hertfordshire","76"
"All","Hillingdon","72"
"All","Hounslow","73"
"All","Isle of Wight","72"
"All","Isles of Scilly","82"
"All","Islington","74"
"All","Kensington and Chelsea","84"
"All","Kent","75"
"All","Kingston upon Hull, City of","71"
"All","Kingston upon Thames","77"
"All","Kirklees","67"
"All","Knowsley","69"
"All","Lambeth","79"
"All","Lancashire","71"
"All","Leeds","68"
"All","Leicester","66"
"All","Leicestershire","73"
"All","Lewisham","72"
"All","Lincolnshire","69"
"All","Liverpool","69"
"All","Luton","65"
"All","Manchester","69"
"All","Medway","68"
"All","Merton","77"
"All","Middlesbrough","70"
"All","Milton Keynes","74"
"All","Newcastle upon Tyne","72"
"All","Newham","76"
"All","Norfolk","69"
"All","North East Lincolnshire","67"
"All","North Lincolnshire","67"
"All","North Somerset","71"
"All","North Tyneside","76"
"All","North Yorkshire","71"
"All","Northamptonshire","68"
"All","Northumberland","72"
"All","Nottingham","68"
"All","Nottinghamshire","72"
"All","Oldham","67"
"All","Oxfordshire","74"
"All","Peterborough","63"
"All","Plymouth","70"
"All","Poole","69"
"All","Portsmouth","67"
"All","Reading","70"
"All","Redbridge","76"
"All","Redcar and Cleveland","77"
"All","Richmond upon Thames","86"
"All","Rochdale","66"
"All","Rotherham","69"
"All","Rutland","76"
"All","Salford","71"
"All","Sandwell","66"
"All","Sefton","74"
"All","Sheffield","69"
"All","Shropshire","75"
"All","Slough","70"
"All","Solihull","75"
"All","Somerset","73"
"All","South Gloucestershire","74"
"All","South Tyneside","73"
"All","Southampton","74"
"All","Southend-on-Sea","75"
"All","Southwark","73"
"All","St. Helens","69"
"All","Staffordshire","74"
"All","Stockport","76"
"All","Stockton-on-Tees","72"
"All","Stoke-on-Trent","65"
"All","Suffolk","70"
"All","Sunderland","76"
"All","Surrey","79"
