"Title","Reading attainment for children aged 7 to 11 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/01/2017 (revised)"

"Ethnicity","Local Authority","%"
"All","County Durham","70"
"All","Darlington","69"
"All","Gateshead","72"
"All","Hartlepool","66"
"All","Middlesbrough","62"
"All","Newcastle upon Tyne","68"
"All","North Tyneside","70"
"All","Northumberland","67"
"All","Redcar and Cleveland","72"
"All","South Tyneside","68"
"All","Stockton-on-Tees","66"
"All","Sunderland","71"
"All","Blackburn with Darwen","62"
"All","Blackpool","61"
"All","Bolton","65"
"All","Bury","66"
"All","Cheshire East","71"
"All","Cheshire West and Chester","69"
"All","Cumbria","68"
"All","Halton","63"
"All","Knowsley","62"
"All","Lancashire","65"
"All","Liverpool","61"
"All","Manchester","63"
"All","Oldham","59"
"All","Rochdale","62"
"All","Salford","66"
"All","Sefton","70"
"All","St. Helens","65"
"All","Stockport","69"
"All","Tameside","68"
"All","Trafford","77"
"All","Warrington","71"
"All","Wigan","69"
"All","Wirral","64"
"All","Barnsley","62"
"All","Bradford","57"
"All","Calderdale","65"
"All","Doncaster","56"
"All","East Riding of Yorkshire","66"
"All","Kingston upon Hull, City of","64"
"All","Kirklees","62"
"All","Leeds","61"
"All","North East Lincolnshire","59"
"All","North Lincolnshire","57"
"All","North Yorkshire","65"
"All","Rotherham","64"
"All","Sheffield","62"
"All","Wakefield","61"
"All","York","66"
"All","Derby","61"
"All","Derbyshire","66"
"All","Leicester","59"
"All","Leicestershire","65"
"All","Lincolnshire","64"
"All","Northamptonshire","63"
"All","Nottingham","61"
"All","Nottinghamshire","65"
"All","Rutland","71"
"All","Birmingham","59"
"All","Coventry","61"
"All","Dudley","62"
"All","Herefordshire, County of","68"
"All","Sandwell","61"
"All","Shropshire","68"
"All","Solihull","70"
"All","Staffordshire","67"
"All","Stoke-on-Trent","59"
"All","Telford and Wrekin","70"
"All","Walsall","61"
"All","Warwickshire","69"
"All","Wolverhampton","65"
"All","Worcestershire","64"
"All","Bedford","59"
"All","Cambridgeshire","66"
"All","Central Bedfordshire","65"
"All","Essex","67"
"All","Hertfordshire","72"
"All","Luton","56"
"All","Norfolk","64"
"All","Peterborough","55"
"All","Southend-on-Sea","67"
"All","Suffolk","63"
"All","Thurrock","63"
"All","Camden","72"
"All","City of London","!"
"All","Hackney","71"
"All","Hammersmith and Fulham","74"
"All","Haringey","64"
"All","Islington","68"
"All","Kensington and Chelsea","79"
"All","Lambeth","73"
"All","Lewisham","67"
"All","Newham","69"
"All","Southwark","67"
"All","Tower Hamlets","72"
"All","Wandsworth","70"
"All","Westminster","66"
"All","Barking and Dagenham","65"
"All","Barnet","73"
"All","Bexley","70"
"All","Brent","64"
"All","Bromley","79"
"All","Croydon","66"
"All","Ealing","65"
"All","Enfield","61"
"All","Greenwich","73"
"All","Harrow","72"
"All","Havering","73"
"All","Hillingdon","70"
"All","Hounslow","67"
"All","Kingston upon Thames","75"
"All","Merton","70"
"All","Redbridge","68"
"All","Richmond upon Thames","81"
"All","Sutton","74"
"All","Waltham Forest","65"
"All","Bracknell Forest","65"
"All","Brighton and Hove","75"
"All","Buckinghamshire","73"
"All","East Sussex","66"
"All","Hampshire","71"
"All","Isle of Wight","64"
"All","Kent","70"
"All","Medway","62"
"All","Milton Keynes","69"
"All","Oxfordshire","68"
"All","Portsmouth","62"
"All","Reading","67"
"All","Slough","64"
"All","Southampton","66"
"All","Surrey","73"
"All","West Berkshire","70"
"All","West Sussex","65"
"All","Windsor and Maidenhead","72"
"All","Wokingham","76"
"All","Bath and North East Somerset","71"
"All","Bournemouth","65"
"All","Bristol, City of","67"
"All","Cornwall","66"
"All","Devon","71"
"All","Dorset","67"
"All","Gloucestershire","70"
"All","Isles of Scilly","65"
"All","North Somerset","71"
"All","Plymouth","67"
"All","Poole","67"
"All","Somerset","67"
"All","South Gloucestershire","69"
"All","Swindon","67"
"All","Torbay","68"
"All","Wiltshire","68"
"Asian","County Durham","80"
"Asian","Darlington","73"
"Asian","Gateshead","65"
"Asian","Hartlepool","62"
"Asian","Middlesbrough","56"
"Asian","Newcastle upon Tyne","65"
"Asian","North Tyneside","64"
"Asian","Northumberland","61"
"Asian","Redcar and Cleveland","72"
"Asian","South Tyneside","71"
"Asian","Stockton-on-Tees","57"
"Asian","Sunderland","63"
"Asian","Blackburn with Darwen","60"
"Asian","Blackpool","73"
"Asian","Bolton","66"
"Asian","Bury","56"
"Asian","Cheshire East","81"
"Asian","Cheshire West and Chester","59"
"Asian","Cumbria","76"
"Asian","Halton","!"
"Asian","Knowsley","74"
"Asian","Lancashire","57"
"Asian","Liverpool","64"
"Asian","Manchester","59"
"Asian","Oldham","50"
"Asian","Rochdale","55"
"Asian","Salford","73"
"Asian","Sefton","65"
"Asian","St. Helens","50"
"Asian","Stockport","62"
"Asian","Tameside","63"
"Asian","Trafford","73"
"Asian","Warrington","72"
"Asian","Wigan","62"
"Asian","Wirral","67"
"Asian","Barnsley","73"
"Asian","Bradford","54"
"Asian","Calderdale","59"
"Asian","Doncaster","49"
"Asian","East Riding of Yorkshire","83"
"Asian","Kingston upon Hull, City of","80"
"Asian","Kirklees","55"
"Asian","Leeds","56"
"Asian","North East Lincolnshire","63"
"Asian","North Lincolnshire","58"
"Asian","North Yorkshire","70"
"Asian","Rotherham","61"
"Asian","Sheffield","56"
"Asian","Wakefield","49"
"Asian","York","79"
"Asian","Derby","59"
"Asian","Derbyshire","61"
"Asian","Leicester","63"
"Asian","Leicestershire","68"
"Asian","Lincolnshire","72"
"Asian","Northamptonshire","58"
"Asian","Nottingham","62"
"Asian","Nottinghamshire","66"
"Asian","Rutland","!"
"Asian","Birmingham","58"
"Asian","Coventry","62"
"Asian","Dudley","61"
"Asian","Herefordshire, County of","!"
"Asian","Sandwell","63"
"Asian","Shropshire","70"
"Asian","Solihull","73"
"Asian","Staffordshire","61"
"Asian","Stoke-on-Trent","57"
"Asian","Telford and Wrekin","64"
"Asian","Walsall","61"
"Asian","Warwickshire","73"
"Asian","Wolverhampton","65"
"Asian","Worcestershire","62"
"Asian","Bedford","48"
"Asian","Cambridgeshire","72"
"Asian","Central Bedfordshire","66"
"Asian","Essex","76"
"Asian","Hertfordshire","76"
"Asian","Luton","52"
"Asian","Norfolk","75"
"Asian","Peterborough","54"
"Asian","Southend-on-Sea","68"
"Asian","Suffolk","59"
"Asian","Thurrock","63"
"Asian","Camden","70"
"Asian","City of London","!"
"Asian","Hackney","68"
"Asian","Hammersmith and Fulham","77"
"Asian","Haringey","61"
"Asian","Islington","66"
"Asian","Kensington and Chelsea","81"
"Asian","Lambeth","80"
"Asian","Lewisham","71"
"Asian","Newham","73"
"Asian","Southwark","72"
"Asian","Tower Hamlets","71"
"Asian","Wandsworth","68"
"Asian","Westminster","70"
"Asian","Barking and Dagenham","73"
"Asian","Barnet","74"
"Asian","Bexley","75"
"Asian","Brent","66"
"Asian","Bromley","90"
"Asian","Croydon","71"
"Asian","Ealing","62"
"Asian","Enfield","73"
"Asian","Greenwich","77"
"Asian","Harrow","75"
"Asian","Havering","76"
"Asian","Hillingdon","69"
"Asian","Hounslow","73"
"Asian","Kingston upon Thames","72"
"Asian","Merton","74"
"Asian","Redbridge","71"
"Asian","Richmond upon Thames","80"
"Asian","Sutton","81"
"Asian","Waltham Forest","64"
"Asian","Bracknell Forest","73"
"Asian","Brighton and Hove","64"
"Asian","Buckinghamshire","66"
"Asian","East Sussex","64"
"Asian","Hampshire","72"
"Asian","Isle of Wight","33"
"Asian","Kent","75"
"Asian","Medway","69"
"Asian","Milton Keynes","75"
"Asian","Oxfordshire","58"
"Asian","Portsmouth","71"
"Asian","Reading","69"
"Asian","Slough","70"
"Asian","Southampton","61"
"Asian","Surrey","72"
"Asian","West Berkshire","77"
"Asian","West Sussex","61"
"Asian","Windsor and Maidenhead","62"
"Asian","Wokingham","78"
"Asian","Bath and North East Somerset","74"
"Asian","Bournemouth","63"
"Asian","Bristol, City of","63"
"Asian","Cornwall","57"
"Asian","Devon","73"
"Asian","Dorset","62"
"Asian","Gloucestershire","69"
