"","All","Asian","Black","Chinese","Mixed","White"
"Local authority","%","%","%","%","%","%"
"Barking and Dagenham","72","76","75","!","70","69"
"Barnet","78","79","71","91","79","82"
"Barnsley","68","79","43","N/A","73","68"
"Bath and North East Somerset","78","82","38","!","77","78"
"Bedford","66","62","56","!","69","68"
"Bexley","75","81","77","!","76","73"
"Birmingham","66","65","65","75","69","69"
"Blackburn with Darwen","68","67","68","!","71","69"
"Blackpool","72","72","!","!","76","72"
"Bolton","69","69","57","!","79","70"
"Bournemouth","71","79","71","!","76","71"
"Bracknell Forest","71","79","78","!","81","70"
"Bradford","66","65","61","!","67","66"
"Brent","69","67","68","100","74","74"
"Brighton and Hove","77","63","74","65","77","79"
"Bristol, City of","72","69","56","!","72","74"
"Bromley","84","89","84","88","86","83"
"Buckinghamshire","77","70","68","!","68","79"
"Bury","72","65","69","100","68","74"
"Calderdale","71","61","71","!","75","73"
"Cambridgeshire","73","68","59","89","74","73"
"Camden","76","74","70","!","77","80"
"Central Bedfordshire","72","78","72","!","71","72"
"Cheshire East","76","78","79","!","82","76"
"Cheshire West and Chester","74","80","50","!","70","74"
"City of London","88","!","!","N/A","!","!"
"Cornwall","72","65","!","63","81","71"
"County Durham","73","78","60","75","79","73"
"Coventry","68","71","62","100","68","68"
"Croydon","73","77","69","88","74","75"
"Cumbria","74","77","!","67","81","74"
"Darlington","72","74","!","!","79","71"
"Derby","65","62","64","!","69","65"
"Derbyshire","71","74","63","71","74","71"
"Devon","75","73","64","70","77","75"
"Doncaster","63","57","50","!","70","64"
"Dorset","73","68","57","77","73","73"
"Dudley","66","62","59","!","68","67"
"Ealing","73","70","69","!","77","80"
"East Riding of Yorkshire","73","75","!","!","80","73"
"East Sussex","71","73","58","!","77","71"
"Enfield","67","77","66","!","75","65"
"Essex","74","82","74","80","75","73"
"Gateshead","77","66","66","100","82","77"
"Gloucestershire","75","80","64","78","71","75"
"Greenwich","78","82","79","88","80","75"
"Hackney","78","81","75","!","81","81"
"Halton","69","!","!","!","76","69"
"Hammersmith and Fulham","82","79","81","!","86","83"
"Hampshire","76","82","80","87","78","76"
"Haringey","72","78","66","76","77","75"
"Harrow","77","80","72","!","79","76"
"Hartlepool","72","77","!","!","60","72"
"Havering","80","80","81","!","77","80"
"Herefordshire, County of","73","100","!","!","74","73"
"Hertfordshire","76","74","72","80","78","76"
"Hillingdon","72","76","68","!","75","71"
"Hounslow","73","76","70","100","78","72"
"Isle of Wight","72","!","!","!","76","71"
"Isles of Scilly","82","N/A","N/A","N/A","N/A","82"
"Islington","74","81","67","!","77","77"
"Kensington and Chelsea","84","84","84","100","81","86"
"Kent","75","81","80","73","78","74"
"Kingston upon Hull, City of","71","79","60","!","85","71"
"Kingston upon Thames","77","74","80","!","80","77"
"Kirklees","67","62","57","71","63","71"
"Knowsley","69","79","67","N/A","69","69"
"Lambeth","79","80","76","72","80","83"
"Lancashire","71","61","71","82","71","73"
"Leeds","68","60","59","79","66","70"
"Leicester","66","69","67","!","69","62"
"Leicestershire","73","74","74","82","70","73"
"Lewisham","72","76","66","84","78","75"
"Lincolnshire","69","88","76","84","78","69"
"Liverpool","69","70","70","83","69","69"
"Luton","65","61","67","!","70","67"
"Manchester","69","65","70","76","71","72"
"Medway","68","74","75","!","68","68"
"Merton","77","79","74","100","77","76"
"Middlesbrough","70","65","50","N/A","64","72"
"Milton Keynes","74","80","72","75","73","74"
"Newcastle upon Tyne","72","70","70","70","70","74"
"Newham","76","75","79","100","81","71"
"Norfolk","69","78","56","85","69","69"
"North East Lincolnshire","67","!","!","!","83","66"
"North Lincolnshire","67","75","54","!","69","66"
"North Somerset","71","28","42","100","77","71"
"North Tyneside","76","81","!","!","80","76"
"North Yorkshire","71","81","48","82","78","71"
"Northamptonshire","68","62","62","74","64","69"
"Northumberland","72","83","!","!","69","72"
"Nottingham","68","69","70","61","68","68"
"Nottinghamshire","72","70","58","85","71","72"
"Oldham","67","60","69","!","72","71"
"Oxfordshire","74","66","63","!","76","75"
"Peterborough","63","64","65","!","64","62"
"Plymouth","70","100","53","67","73","70"
"Poole","69","79","!","!","75","68"
"Portsmouth","67","72","68","!","77","67"
"Reading","70","68","71","!","68","71"
"Redbridge","76","77","69","78","79","75"
"Redcar and Cleveland","77","60","N/A","!","!","77"
"Richmond upon Thames","86","79","73","71","89","87"
"Rochdale","66","61","64","!","73","68"
"Rotherham","69","68","64","!","77","69"
"Rutland","76","!","!","!","!","76"
"Salford","71","79","73","!","70","72"
"Sandwell","66","70","60","!","67","65"
"Sefton","74","71","!","63","74","74"
"Sheffield","69","69","67","87","66","71"
"Shropshire","75","65","50","!","76","75"
"Slough","70","74","69","!","69","64"
"Solihull","75","77","73","!","66","75"
"Somerset","73","75","60","!","75","73"
"South Gloucestershire","74","86","73","!","69","74"
"South Tyneside","73","72","64","!","79","73"
"Southampton","74","72","82","!","78","74"
"Southend-on-Sea","75","82","80","!","78","73"
"Southwark","73","76","71","71","77","77"
"St. Helens","69","86","!","!","72","68"
"Staffordshire","74","67","75","78","77","74"
"Stockport","76","73","66","75","78","76"
"Stockton-on-Tees","72","63","77","!","85","73"
"Stoke-on-Trent","65","61","59","62","70","66"
"Suffolk","70","74","71","57","70","70"
"Sunderland","76","68","!","100","71","76"
"Surrey","79","78","72","84","82","79"
"Sutton","81","87","86","88","84","78"
"Swindon","73","74","79","57","71","73"
"Tameside","70","67","52","60","75","71"
"Telford and Wrekin","73","66","70","100","75","73"
"Thurrock","71","80","80","69","69","68"
"Torbay","72","75","!","!","72","72"
"Tower Hamlets","75","76","74","83","74","73"
"Trafford","81","80","77","86","81","81"
"Wakefield","66","54","59","55","65","67"
"Walsall","65","65","63","77","66","65"
"Waltham Forest","74","74","73","86","75","75"
"Wandsworth","76","71","69","!","74","84"
"Warrington","78","78","80","!","77","77"
"Warwickshire","73","82","65","83","72","73"
"West Berkshire","74","84","82","!","77","74"
"West Sussex","71","67","61","76","74","71"
"Westminster","77","78","77","100","75","83"
"Wigan","75","79","70","!","80","75"
"Wiltshire","72","85","39","!","71","73"
"Windsor and Maidenhead","78","76","58","!","77","80"
"Wirral","70","69","!","67","78","70"
"Wokingham","82","87","81","!","84","81"
"Wolverhampton","70","71","74","!","71","68"
"Worcestershire","70","63","74","!","72","70"
"York","73","73","75","!","77","73"
