"NS-SEC group","Ethnicity","£"
"Higher managerial, administrative and professional occupations","White British","50,205"
"Higher managerial, administrative and professional occupations","All other ethnic groups","72,209"
"Intermediate occupations","White British","34,233"
"Intermediate occupations","All other ethnic groups","?"
"Routine and manual occupations","White British","34,935"
"Routine and manual occupations","All other ethnic groups","17,230"
