"Title","Deposits paid by first-time buyers"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","Ministry of Housing, Communities and Local Government"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-02"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","NS-SEC group","Value","Standard Deviation","Sample size"
"Average deposit paid by owner-occupiers","2014-15 and 2015-16","Two years","White British","White British & other","England","England as a whole","All","44410.16","68025.39","466"
"Average deposit paid by owner-occupiers","2014-15 and 2015-16","Two years","All other ethnic groups","White British & other","England","England as a whole","All","49422.87","79739.07","158"
"Average deposit paid by owner-occupiers","2014-15 and 2015-16","Two years","White British","White British & other","England","England as a whole","Higher managerial, administrative and professional occupations","50204.96","72669.39","271"
"Average deposit paid by owner-occupiers","2014-15 and 2015-16","Two years","White British","White British & other","England","England as a whole","Intermediate occupations","34232.87","43126.18","69"
"Average deposit paid by owner-occupiers","2014-15 and 2015-16","Two years","White British","White British & other","England","England as a whole","Routine and manual occupations","34935.22","67167.60","117"
"Average deposit paid by owner-occupiers","2014-15 and 2015-16","Two years","All other ethnic groups","White British & other","England","England as a whole","Higher managerial, administrative and professional occupations","72208.97","100368.09","87"
"Average deposit paid by owner-occupiers","2014-15 and 2015-16","Two years","All other ethnic groups","White British & other","England","England as a whole","Intermediate occupations","?","?","?"
"Average deposit paid by owner-occupiers","2014-15 and 2015-16","Two years","All other ethnic groups","White British & other","England","England as a whole","Routine and manual occupations","17229.57","9313.69","40"
