"Ethnicity","%","Number of sanctions"
"All","0.3","1,278"
"Asian","0.3","37"
"Black","0.5","46"
"Mixed","0.4","18"
"White British","0.3","1,027"
"White other","0.4","38"
"Other","0.6","31"
