"Title","Percentage of government-funded learners in further education by ethnicity"
"Location","England"
"Time period","2002/03 to 2015/16"
"Data source","Further education and skills https://www.gov.uk/government/statistical-data-sets/fe-data-library-further-education-and-skills"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value"
"Adult education students","2002/03","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","6.1"
"Adult education students","2002/03","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4.2"
"Adult education students","2002/03","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.1"
"Adult education students","2002/03","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","6.8"
"Adult education students","2002/03","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.9"
"Adult education students","2002/03","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","79.8"
"Adult education students","2002/03","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","13.3"
"Adult education students","2003/04","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","6"
"Adult education students","2003/04","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4.2"
"Adult education students","2003/04","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.2"
"Adult education students","2003/04","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","5.2"
"Adult education students","2003/04","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.8"
"Adult education students","2003/04","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","81.5"
"Adult education students","2003/04","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","13.2"
"Adult education students","2004/05","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","6.3"
"Adult education students","2004/05","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4.6"
"Adult education students","2004/05","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.4"
"Adult education students","2004/05","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4.3"
"Adult education students","2004/05","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.9"
"Adult education students","2004/05","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","81.4"
"Adult education students","2004/05","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","14.2"
"Adult education students","2005/06","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","6.8"
"Adult education students","2005/06","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","5.1"
"Adult education students","2005/06","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.6"
"Adult education students","2005/06","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3.5"
"Adult education students","2005/06","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2"
"Adult education students","2005/06","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","81.1"
"Adult education students","2005/06","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","15.5"
"Adult education students","2006/07","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","7.1"
"Adult education students","2006/07","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","5.5"
"Adult education students","2006/07","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.8"
"Adult education students","2006/07","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3.1"
"Adult education students","2006/07","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2"
"Adult education students","2006/07","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","80.5"
"Adult education students","2006/07","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","16.4"
"Adult education students","2007/08","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","7.3"
"Adult education students","2007/08","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","5.7"
"Adult education students","2007/08","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.9"
"Adult education students","2007/08","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3.1"
"Adult education students","2007/08","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.9"
"Adult education students","2007/08","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","80.2"
"Adult education students","2007/08","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","16.8"
"Adult education students","2008/09","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","7.7"
"Adult education students","2008/09","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","5.7"
"Adult education students","2008/09","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.9"
"Adult education students","2008/09","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.7"
"Adult education students","2008/09","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.9"
"Adult education students","2008/09","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","80.1"
"Adult education students","2008/09","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","17.2"
"Adult education students","2009/10","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","7.8"
"Adult education students","2009/10","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","5.7"
"Adult education students","2009/10","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.1"
"Adult education students","2009/10","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.3"
"Adult education students","2009/10","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.9"
"Adult education students","2009/10","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","80.2"
"Adult education students","2009/10","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","17.5"
"Adult education students","2010/11","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","8.2"
"Adult education students","2010/11","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","6.1"
"Adult education students","2010/11","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.2"
"Adult education students","2010/11","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2"
"Adult education students","2010/11","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.9"
"Adult education students","2010/11","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","79.6"
"Adult education students","2010/11","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","18.4"
"Adult education students","2011/12","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","8.2"
"Adult education students","2011/12","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","6.4"
"Adult education students","2011/12","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.5"
"Adult education students","2011/12","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.8"
"Adult education students","2011/12","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.9"
"Adult education students","2011/12","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","79.3"
"Adult education students","2011/12","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","19"
"Adult education students","2012/13","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","7.9"
"Adult education students","2012/13","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","6.3"
"Adult education students","2012/13","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.6"
"Adult education students","2012/13","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.2"
"Adult education students","2012/13","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.9"
"Adult education students","2012/13","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","79.2"
"Adult education students","2012/13","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","18.7"
"Adult education students","2013/14","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","7.8"
"Adult education students","2013/14","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","6.2"
"Adult education students","2013/14","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.7"
"Adult education students","2013/14","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.2"
"Adult education students","2013/14","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.9"
"Adult education students","2013/14","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","79.1"
"Adult education students","2013/14","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","18.6"
"Adult education students","2014/15","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","8.1"
"Adult education students","2014/15","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","6.4"
"Adult education students","2014/15","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.9"
"Adult education students","2014/15","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.8"
"Adult education students","2014/15","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2"
"Adult education students","2014/15","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","78.9"
"Adult education students","2014/15","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","19.4"
"Adult education students","2015/16","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","8.3"
"Adult education students","2015/16","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","6.3"
"Adult education students","2015/16","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.9"
"Adult education students","2015/16","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","78.2"
"Adult education students","2015/16","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.1"
"Adult education students","2015/16","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.2"
"Adult education students","2015/16","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","19.6"
