"Ethnicity","Year","Rate per 1,000 prisoners","Number"
"Asian","2012","0.5","3"
"Asian","2013","0.9","6"
"Asian","2014","0.5","3"
"Asian","2015","0.7","5"
"Asian","2016","1.2","8"
"Black","2012","0.4","4"
"Black","2013","0.7","8"
"Black","2014","0.4","4"
"Black","2015","0.3","3"
"Black","2016","0.7","7"
"Mixed","2012","1.6","5"
"Mixed","2013","0.6","2"
"Mixed","2014","0.6","2"
"Mixed","2015","0.9","3"
"Mixed","2016","0.8","3"
"White","2012","0.8","49"
"White","2013","1.0","60"
"White","2014","1.3","80"
"White","2015","1.2","78"
"White","2016","1.6","100"
"Other inc Chinese","2012","0.0","0"
"Other inc Chinese","2013","0.0","0"
"Other inc Chinese","2014","0.0","0"
"Other inc Chinese","2015","1.0","1"
"Other inc Chinese","2016","1.0","1"
