"Title","Cigarette smoking among 15 year olds by ethnicity"
"Location","England"
"Time period","2014/15"
"Data source","What About YOUth (WAY) survey http://www.whataboutyouth.com/"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Ethnicity","Value"
"Smoking prevalence at age 15 - current smokers","All","8.2"
"Smoking prevalence at age 15 - current smokers","Asian","2.6"
"Smoking prevalence at age 15 - current smokers","Black","2.4"
"Smoking prevalence at age 15 - current smokers","Mixed","9"
"Smoking prevalence at age 15 - current smokers","Other","2.9"
"Smoking prevalence at age 15 - current smokers","White","9.2"
