"Title","Civil Service Workforce"
"Location","United Kingdom"
"Time period","2016"
"Data source","Cabinet Office"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","6/10/2016"
"Year","Ethnic group","GRADE","Number","Rate","Median Salary"
"2016","All Groups","All Grades","418,340","N/A","25400"
"2016","white","All Grades","284,140","88.80%","25600"
"2016","Mixed","All Grades","4,460","1.40%","27000"
"2016","Asian of Asian British","All Grades","18,690","5.80%","25000"
"2016","Black or Black British","All Grades","9,950","3.10%","26500"
"2016","Chinese","All Grades","880","0.30%","27200"
"2016","Other ethnic group","All Grades","1,710","0.50%","28000"
"2016","Not reported / Not declared","All Grades","98,510","N/A","25200"
"2016","All Groups","Senior Civil Service","4,950","N/A","81000"
"2016","white","Senior Civil Service","3,530","93.10%","80600"
"2016","Mixed","Senior Civil Service","50","1.30%","76600"
"2016","Asian of Asian British","Senior Civil Service","130","3.40%","88500"
"2016","Black or Black British","Senior Civil Service","50","1.30%","88700"
"2016","Chinese","Senior Civil Service","10","0.30%","90600"
"2016","Other ethnic group","Senior Civil Service","20","0.50%","89100"
"2016","Not reported / Not declared","Senior Civil Service","1,150","N/A","81600"
"2016","All Groups","Grades 6 & 7","39,500","N/A","54500"
"2016","white","Grades 6 & 7","28,200","91.80%","54500"
"2016","Mixed","Grades 6 & 7","530","1.70%","55000"
"2016","Asian of Asian British","Grades 6 & 7","1,160","3.80%","54500"
"2016","Black or Black British","Grades 6 & 7","500","1.60%","55300"
"2016","Chinese","Grades 6 & 7","100","0.30%","53700"
"2016","Other ethnic group","Grades 6 & 7","220","0.70%","55400"
"2016","Not reported / Not declared","Grades 6 & 7","8,790","N/A","54600"
"2016","All Groups","Senior and higher executive officer","97,640","N/A","33800"
"2016","white","Senior and higher executive officer","69,530","90.10%","33700"
"2016","Mixed","Senior and higher executive officer","1,150","1.50%","34300"
"2016","Asian of Asian British","Senior and higher executive officer","3,770","4.90%","33900"
"2016","Black or Black British","Senior and higher executive officer","2,050","2.70%","34400"
"2016","Chinese","Senior and higher executive officer","250","0.30%","35300"
"2016","Other ethnic group","Senior and higher executive officer","410","0.50%","35100"
"2016","Not reported / Not declared","Senior and higher executive officer","20,480","N/A","33600"
"2016","All Groups","Executive officer","109,620","N/A","25200"
"2016","white","Executive officer","75,340","87.20%","25200"
"2016","Mixed","Executive officer","1,190","1.40%","25500"
"2016","Asian of Asian British","Executive officer","5,840","6.80%","26400"
"2016","Black or Black British","Executive officer","3,310","3.80%","26800"
"2016","Chinese","Executive officer","230","0.30%","26100"
"2016","Other ethnic group","Executive officer","450","0.50%","26000"
"2016","Not reported / Not declared","Executive officer","23,260","N/A","25200"
"2016","All Groups","Administrative officers and assistants","153,830","N/A","19500"
"2016","white","Administrative officers and assistants","102,940","88.30%","19500"
"2016","Mixed","Administrative officers and assistants","1,430","1.20%","19900"
"2016","Asian of Asian British","Administrative officers and assistants","7,520","6.50%","20100"
"2016","Black or Black British","Administrative officers and assistants","3,790","3.30%","22200"
"2016","Chinese","Administrative officers and assistants","270","0.20%","19600"
"2016","Other ethnic group","Administrative officers and assistants","590","0.50%","20600"
"2016","Not reported / Not declared","Administrative officers and assistants","37,300","N/A","18800"
"2016","All Groups","Not reported","12,810","N/A","29900"
"2016","white","Not reported","4,600","87.30%","29000"
"2016","Mixed","Not reported","110","2.10%","31700"
"2016","Asian of Asian British","Not reported","260","4.90%","27400"
"2016","Black or Black British","Not reported","270","5.10%","26600"
"2016","Chinese","Not reported","10","0.20%","31700"
"2016","Other ethnic group","Not reported","20","0.40%","28500"
"2016","Not reported / Not declared","Not reported","7,530","N/A","30200"
"2016","All Groups","All Regions","418,340","N/A","25400"
"2016","white","All Regions","284,140","88.80%","25600"
"2016","Mixed","All Regions","4,460","1.40%","27000"
"2016","Asian of Asian British","All Regions","18,690","5.80%","25000"
"2016","Black or Black British","All Regions","9,950","3.10%","26500"
"2016","Chinese","All Regions","880","0.30%","27200"
"2016","Other ethnic group","All Regions","1,710","0.50%","28000"
"2016","Not reported / Not declared","All Regions","98,510","N/A","25200"
"2016","All Groups","North East","28,370","N/A","20190"
"2016","white","North East","21,700","97.80%","22200"
"2016","Mixed","North East","140","0.60%","21600"
"2016","Asian of Asian British","North East","200","0.90%","20100"
"2016","Black or Black British","North East","60","0.30%","19800"
"2016","Chinese","North East","30","0.10%","19800"
"2016","Other ethnic group","North East","50","0.20%","22800"
"2016","Not reported / Not declared","North East","6,190","N/A","20100"
"2016","All Groups","North West","51,690","N/A","23200"
"2016","white","North West","38,030","94.30%","23500"
"2016","Mixed","North West","430","1.10%","22400"
"2016","Asian of Asian British","North West","1,270","3.20%","19800"
"2016","Black or Black British","North West","340","0.80%","20200"
"2016","Chinese","North West","100","0.20%","20200"
"2016","Other ethnic group","North West","140","0.30%","23500"
"2016","Not reported / Not declared","North West","11,380","N/A","22000"
"2016","All Groups","Yorkshire and The Humber","31,360","N/A","24700"
"2016","white","Yorkshire and The Humber","23,330","91.80%","25200"
"2016","Mixed","Yorkshire and The Humber","270","1.10%","23400"
"2016","Asian of Asian British","Yorkshire and The Humber","1,360","5.40%","20300"
"2016","Black or Black British","Yorkshire and The Humber","300","1.20%","23200"
"2016","Chinese","Yorkshire and The Humber","50","0.20%","23200"
"2016","Other ethnic group","Yorkshire and The Humber","100","0.40%","28100"
"2016","Not reported / Not declared","Yorkshire and The Humber","5,950","N/A","23900"
"2016","All Groups","East Midlands","19,420","N/A","24000"
"2016","white","East Midlands","13,270","88.20%","24400"
"2016","Mixed","East Midlands","200","1.30%","22400"
"2016","Asian of Asian British","East Midlands","1,230","8.20%","19800"
"2016","Black or Black British","East Midlands","290","1.90%","21100"
"2016","Chinese","East Midlands","10","0.10%","22300"
"2016","Other ethnic group","East Midlands","50","0.30%","23900"
"2016","Not reported / Not declared","East Midlands","4,370","N/A","23400"
"2016","All Groups","West Midlands","26,630","N/A","24200"
"2016","white","West Midlands","16,980","82.40%","25000"
"2016","Mixed","West Midlands","280","1.40%","22400"
"2016","Asian of Asian British","West Midlands","2,430","11.80%","20300"
"2016","Black or Black British","West Midlands","790","3.80%","22400"
"2016","Chinese","West Midlands","30","0.10%","23800"
"2016","Other ethnic group","West Midlands","100","0.50%","24400"
"2016","Not reported / Not declared","West Midlands","6,020","N/A","22700"
"2016","All Groups","East","22,110","N/A","25300"
"2016","white","East","15,670","90.90%","25900"
"2016","Mixed","East","240","1.40%","25500"
"2016","Asian of Asian British","East","790","4.60%","23200"
"2016","Black or Black British","East","370","2.10%","25900"
"2016","Chinese","East","50","0.30%","30800"
"2016","Other ethnic group","East","110","0.60%","27000"
"2016","Not reported / Not declared","East","4,880","N/A","24400"
"2016","All Groups","London","78,230","N/A","33000"
"2016","white","London","39,130","67.00%","36700"
"2016","Mixed","London","1,780","3.00%","31200"
"2016","Asian of Asian British","London","9,500","16.30%","27800"
"2016","Black or Black British","London","6,910","11.80%","27300"
"2016","Chinese","London","390","0.70%","31700"
"2016","Other ethnic group","London","730","1.20%","30400"
"2016","Not reported / Not declared","London","19,780","N/A","33000"
"2016","All Groups","South East","39,060","N/A","26200"
"2016","white","South East","28,220","93.60%","26400"
"2016","Mixed","South East","370","1.20%","25700"
"2016","Asian of Asian British","South East","920","3.10%","24200"
"2016","Black or Black British","South East","420","1.40%","24400"
"2016","Chinese","South East","80","0.30%","24000"
"2016","Other ethnic group","South East","150","0.50%","26100"
"2016","Not reported / Not declared","South East","8,910","N/A","24500"
"2016","All Groups","South West","37,110","N/A","28300"
"2016","white","South West","27,680","96.40%","29200"
"2016","Mixed","South West","300","1.00%","29200"
"2016","Asian of Asian British","South West","340","1.20%","28000"
"2016","Black or Black British","South West","220","0.80%","25100"
"2016","Chinese","South West","60","0.20%","30400"
"2016","Other ethnic group","South West","110","0.40%","30000"
"2016","Not reported / Not declared","South West","8,410","N/A","25800"
"2016","All Groups","Wales","31,170","N/A","23600"
"2016","white","Wales","24,330","97.50%","24300"
"2016","Mixed","Wales","210","0.80%","23500"
"2016","Asian of Asian British","Wales","200","0.80%","22200"
"2016","Black or Black British","Wales","90","0.40%","21700"
"2016","Chinese","Wales","40","0.20%","23400"
"2016","Other ethnic group","Wales","80","0.30%","22200"
"2016","Not reported / Not declared","Wales","6,210","N/A","21700"
"2016","All Groups","Scotland","43,050","N/A","23500"
"2016","white","Scotland","29,880","97.90%","24400"
"2016","Mixed","Scotland","160","0.50%","24800"
"2016","Asian of Asian British","Scotland","290","1.00%","20400"
"2016","Black or Black British","Scotland","90","0.30%","18600"
"2016","Chinese","Scotland","30","0.10%","20200"
"2016","Other ethnic group","Scotland","70","0.20%","25200"
"2016","Not reported / Not declared","Scotland","12,530","N/A","22200"
"2016","All Groups","Northern Ireland","3,530","N/A","23200"
"2016","white","Northern Ireland","2,980","99.30%","23200"
"2016","Mixed","Northern Ireland","10","0.30%","23600"
"2016","Asian of Asian British","Northern Ireland","10","0.30%","26600"
"2016","Black or Black British","Northern Ireland","!","!","!"
"2016","Chinese","Northern Ireland","!","!","!"
"2016","Other ethnic group","Northern Ireland","!","!","!"
"2016","Not reported / Not declared","Northern Ireland","530","N/A","23500"
"2016","All Groups","All ","418340","N/A","25400"
"2016","white","All","284140","88.80%","25600"
"2016","Mixed","All","4460","1.40%","27000"
"2016","Asian of Asian British","All","18690","5.80%","25000"
"2016","Black or Black British","All","9950","3.10%","26500"
"2016","Chinese","All","880","0.30%","27200"
"2016","Other ethnic group","All","1710","0.50%","28000"
"2016","Not reported / Not declared","All","98510","N/A","25200"
"2016","All Groups","Male","191,580","N/A","28200"
"2016","white","Male","129,320","90.10%","29100"
"2016","Mixed","Male","1,900","1.30%","29100"
"2016","Asian of Asian British","Male","7,660","5.30%","25700"
"2016","Black or Black British","Male","3,490","2.40%","27100"
"2016","Chinese","Male","360","0.30%","28500"
"2016","Other ethnic group","Male","820","0.60%","29200"
"2016","Not reported / Not declared","Male","48,030","N/A","27000"
"2016","All Groups","Female","226,760","N/A","24400"
"2016","white","Female","154,820","87.80%","24400"
"2016","Mixed","Female","2,560","1.50%","26300"
"2016","Asian of Asian British","Female","11,030","6.30%","24700"
"2016","Black or Black British","Female","6,470","3.70%","26100"
"2016","Chinese","Female","530","0.30%","26900"
"2016","Other ethnic group","Female","890","0.50%","26300"
"2016","Not reported / Not declared","Female","50,480","N/A","23600"
"2016","All Groups","All Ages","418,340","N/A","25400"
"2016","white","All Ages","284,140","88.80%","25600"
"2016","Mixed","All Ages","4,460","1.40%","27000"
"2016","Asian of Asian British","All Ages","18,690","5.80%","25000"
"2016","Black or Black British","All Ages","9,950","3.10%","26500"
"2016","Chinese","All Ages","880","0.30%","27200"
"2016","Other ethnic group","All Ages","1,710","0.50%","28000"
"2016","Not reported / Not declared","All Ages","98,510","N/A","25200"
"2016","All Groups","Aged 16-19","1,520","N/A","18400"
"2016","white","Aged 16-19","620","89.90%","18400"
"2016","Mixed","Aged 16-19","20","2.90%","18900"
"2016","Asian of Asian British","Aged 16-19","50","7.20%","18500"
"2016","Black or Black British","Aged 16-19","0","0.00%","-"
"2016","Chinese","Aged 16-19","0","0.00%","-"
"2016","Other ethnic group","Aged 16-19","!","!","!"
"2016","Not reported / Not declared","Aged 16-19","830","N/A","18400"
"2016","All Groups","Aged 20-29","42,250","N/A","22400"
"2016","white","Aged 20-29","21,840","84.20%","22700"
"2016","Mixed","Aged 20-29","680","2.60%","24300"
