"Title","Renting from a private landlord by ethnicity and area"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Age group","Age group type","NS-SEC group","Income band","Region","Value","Denominator","Numerator"
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","White British","White British & other","England","England as a whole","All","All","All","All","North East","15"," 1,082,079 "," 166,112 "
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","White British","White British & other","England","England as a whole","All","All","All","All","North West","16"," 2,726,087 "," 448,408 "
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","White British","White British & other","England","England as a whole","All","All","All","All","Yorkshire and the Humber","18"," 1,993,215 "," 358,938 "
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","White British","White British & other","England","England as a whole","All","All","All","All","East Midlands","15"," 1,716,315 "," 263,127 "
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","White British","White British & other","England","England as a whole","All","All","All","All","West Midlands","14"," 1,973,387 "," 283,525 "
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","White British","White British & other","England","England as a whole","All","All","All","All","East","15"," 2,179,257 "," 316,312 "
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","White British","White British & other","England","England as a whole","All","All","All","All","London","19"," 1,721,643 "," 326,889 "
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","White British","White British & other","England","England as a whole","All","All","All","All","South East","15"," 3,196,339 "," 470,422 "
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","White British","White British & other","England","England as a whole","All","All","All","All","South West","16"," 2,220,374 "," 361,757 "
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","North East","33"," 60,660 "," 20,254 "
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","North West","29"," 332,876 "," 96,736 "
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","Yorkshire and the Humber","33"," 251,038 "," 83,830 "
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","East Midlands","35"," 223,700 "," 77,504 "
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","West Midlands","29"," 355,356 "," 102,212 "
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","East","39"," 316,271 "," 124,001 "
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","London","37"," 1,615,633 "," 599,610 "
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","South East","46"," 492,775 "," 228,055 "
"% of households in England who privately rent their own home","2014-15 and 2015-16","Two years","All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","South West","45"," 160,054 "," 71,249 "
