"Title","Renting from a private landlord by ethnicity and socio-economic group"
"Location","England"
"Time period","2014/15 and 2015/16"
"Data source","English Housing Survey, 2014-15 and 2015-16 https://www.gov.uk/government/collections/english-housing-survey#2013-to-2014"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Socio-economic group","Income band","Region","Denominator","Numerator","Value"
"White British","White British & other","England","England as a whole","All","All","All","All","Higher managerial, administrative and professional occupations","All","All"," 7,635,539 "," 1,036,824 ","14"
"White British","White British & other","England","England as a whole","All","All","All","All","Intermediate occupations","All","All"," 3,857,408 "," 624,600 ","16"
"White British","White British & other","England","England as a whole","All","All","All","All","Routine and manual occupations","All","All"," 6,260,530 "," 1,114,270 ","18"
"All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","Higher managerial, administrative and professional occupations","All","All"," 1,400,849 "," 490,968 ","35"
"All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","Intermediate occupations","All","All"," 702,682 "," 243,998 ","35"
"All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","Routine and manual occupations","All","All"," 1,311,313 "," 513,697 ","39"
