"","2008/09; 2009/10; 2010/11","2009/10; 2010/11; 2011/12","2010/11; 2011/12; 2012/13","2011/12; 2012/13; 2013/14","2012/13; 2013/14; 2014/15","2013/14; 2014/15; 2015/16"
"Ethnicity","£","£","£","£","£","£"
"All","492","498","493","491","500","507"
"White British","495","501","497","495","505","513"
"White other","477","486","467","462","457","460"
"Black","464","471","385","352","369","370"
"Asian","397","412","409","425","420","395"
"Other","420","457","542","572","561","520"
