"","2008/09; 2009/10; 2010/11","2009/10; 2010/11; 2011/12","2010/11; 2011/12; 2012/13","2011/12; 2012/13; 2013/14","2012/13; 2013/14; 2014/15","2013/14; 2014/15; 2015/16"
"Ethnicity","£","£","£","£","£","£"
"All","123","129","132","136","140","145"
"White British","125","131","134","139","143","149"
"White other","109","115","105","97","100","103"
"Black","105","102","81","75","74","73"
"Asian","74","80","76","83","86","78"
"Other","76","78","107","136","139","123"
