"Title","People claiming Employment and Support Allowance by ethnicity and region"
"Location","England and Wales"
"Time period","2015"
"Data source","Nomis"
"Data source link","https://www.nomisweb.co.uk/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","December 2015"

"Region","Ethnicity","%"
"East","White","3.4"
"East","Other","2.1"
"East Midlands","White","4.2"
"East Midlands","Other","3.0"
"London","White","3.3"
"London","Other","3.7"
"North East","White","6.2"
"North East","Other","2.5"
"North West","White","5.9"
"North West","Other","3.7"
"South East","White","3.1"
"South East","Other","1.8"
"South West","White","3.9"
"South West","Other","2.6"
"Wales","White","6.2"
"Wales","Other","2.6"
"West Midlands","White","4.5"
"West Midlands","Other","3.9"
"Yorkshire and The Humber","White","4.8"
"Yorkshire and The Humber","Other","3.7"
