"Title","People claiming Employment and Support Allowance by ethnicity and region"
"Location","England and Wales"
"Time period","2015"
"Data source","Nomis"
"Data source link","https://www.nomisweb.co.uk/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","December 2015"

"","East","East Midlands","London","North East","North West","South East","South West","Wales","West Midlands","Yorkshire and The Humber"
"Ethnicity","%","%","%","%","%","%","%","%","%","%"
"White","3.4","4.2","3.3","6.2","5.9","3.1","3.9","6.2","4.5","4.8"
"Other","2.1","3.0","3.7","2.5","3.7","1.8","2.6","2.6","3.9","3.7"
