"Title","Teachers by ethnicity"
"Location","England"
"Time period","2016"
"Data source","School workforce"
"Data source link","https://www.gov.uk/government/statistics/school-workforce-in-england-november-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","20/07/2017"

"Ethnicity","%","Teachers"
"Asian","",""
"Bangladeshi","0.5","2,300"
"Indian","1.8","8,600"
"Pakistani","1.0","4,900"
"Asian other","0.6","2,900"
"Black","",""
"Black African","0.8","3,700"
"Black Caribbean","1.0","4,900"
"Black other","0.3","1,500"
"Mixed","",""
"Mixed White/Asian","0.3","1,500"
"Mixed White/Black African","0.1","600"
"Mixed White/Black Caribbean","0.3","1,500"
"Mixed other","0.5","2,200"
"White","",""
"White British","86.5","408,800"
"White Irish","1.7","7,900"
"White other","3.8","17,900"
"Chinese and other","",""
"Chinese","0.2","800"
"Any other","0.5","2,600"
