"Title","Teachers by ethnicity and grade"
"Location","England"
"Time period","2016"
"Data source","School workforce"
"Data source link","https://www.gov.uk/government/statistics/school-workforce-in-england-november-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","20/07/2017"

"","Heads","Deputies and assistants","Classroom and others"
"Ethnicity","%","%","%"
"Asian","","",""
"Bangladeshi","0.1","0.2","0.5"
"Indian","0.7","1.3","1.9"
"Pakistani","0.3","0.7","1.1"
"Asian other","0.2","0.4","0.7"
"Black","","",""
"Black African","0.2","0.4","0.9"
"Black Caribbean","0.7","1.0","1.1"
"Black other","0.1","0.2","0.3"
"Mixed","","",""
"Mixed White/Asian","0.2","0.3","0.3"
"Mixed White/Black African","!","0.1","0.1"
"Mixed White/Black Caribbean","0.2","0.2","0.3"
"Mixed other","0.2","0.4","0.5"
"White","","",""
"White British","93.1","90.4","85.7"
"White Irish","1.9","1.6","1.7"
"White other","1.8","2.3","4.1"
"Chinese and other","","",""
"Chinese","0.1","0.1","0.2"
"Any other","0.2","0.4","0.6"
