"Title","Phonics attainments for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 December 2016 (updated with disadvantaged data)"

"Ethnicity","Local authority","%"
"Asian","Cambridgeshire","81"
"Asian","Central Bedfordshire","90"
"Asian","Essex","91"
"Asian","Hertfordshire","87"
"Asian","Luton","81"
"Asian","Norfolk","84"
"Asian","Peterborough","82"
"Asian","Southend-on-Sea","84"
"Asian","Suffolk","86"
"Asian","Thurrock","92"
"Asian","Camden","81"
"Asian","City of London","!"
"Asian","Hackney","89"
"Asian","Hammersmith and Fulham","91"
"Asian","Haringey","84"
"Asian","Islington","75"
"Asian","Kensington and Chelsea","81"
"Asian","Lambeth","88"
"Asian","Lewisham","86"
"Asian","Newham","90"
"Asian","Southwark","84"
"Asian","Tower Hamlets","83"
"Asian","Wandsworth","88"
"Asian","Westminster","90"
"Asian","Barking and Dagenham","87"
"Asian","Barnet","84"
"Asian","Bexley","92"
"Asian","Brent","84"
"Asian","Bromley","92"
"Asian","Croydon","86"
"Asian","Ealing","85"
"Asian","Enfield","91"
"Asian","Greenwich","86"
"Asian","Harrow","88"
"Asian","Havering","89"
"Asian","Hillingdon","88"
"Asian","Hounslow","88"
"Asian","Kingston upon Thames","90"
"Asian","Merton","84"
"Asian","Redbridge","86"
"Asian","Richmond upon Thames","93"
"Asian","Sutton","89"
"Asian","Waltham Forest","86"
"Asian","Bracknell Forest","92"
"Asian","Brighton and Hove","81"
"Asian","Buckinghamshire","77"
"Asian","East Sussex","85"
"Asian","Hampshire","85"
"Asian","Isle of Wight","!"
"Asian","Kent","88"
"Asian","Medway","88"
"Asian","Milton Keynes","87"
"Asian","Oxfordshire","80"
"Asian","Portsmouth","84"
"Asian","Reading","84"
"Asian","Slough","87"
"Asian","Southampton","85"
"Asian","Surrey","86"
"Asian","West Berkshire","92"
"Asian","West Sussex","78"
"Asian","Windsor and Maidenhead","85"
"Asian","Wokingham","91"
"Asian","Bath and North East Somerset","77"
"Asian","Bournemouth","88"
"Asian","Bristol, City of","78"
"Asian","Cornwall","73"
"Asian","Devon","86"
"Asian","Dorset","89"
"Asian","Gloucestershire","88"
"Asian","Isles of Scilly","!"
"Asian","North Somerset","84"
"Asian","Plymouth","83"
"Asian","Poole","91"
"Asian","Somerset","75"
"Asian","South Gloucestershire","90"
"Asian","Swindon","82"
"Asian","Torbay","75"
"Asian","Wiltshire","89"
"Chinese","County Durham","!"
"Chinese","Darlington","100"
"Chinese","Gateshead","!"
"Chinese","Hartlepool","100"
"Chinese","Middlesbrough","!"
"Chinese","Newcastle upon Tyne","78"
"Chinese","North Tyneside","77"
"Chinese","Northumberland","!"
"Chinese","Redcar and Cleveland","!"
"Chinese","South Tyneside","!"
"Chinese","Stockton-on-Tees","!"
"Chinese","Sunderland","!"
"Chinese","Blackburn with Darwen","!"
"Chinese","Blackpool","100"
"Chinese","Bolton","100"
"Chinese","Bury","100"
"Chinese","Cheshire East","100"
"Chinese","Cheshire West and Chester","67"
"Chinese","Cumbria","!"
"Chinese","Halton","!"
"Chinese","Knowsley","100"
"Chinese","Lancashire","86"
"Chinese","Liverpool","82"
"Chinese","Manchester","90"
"Chinese","Oldham","!"
"Chinese","Rochdale","100"
"Chinese","Salford","100"
"Chinese","Sefton","!"
"Chinese","St. Helens","76"
"Chinese","Stockport","83"
"Chinese","Tameside","79"
"Chinese","Trafford","93"
"Chinese","Warrington","!"
"Chinese","Wigan","77"
"Chinese","Wirral","75"
"Chinese","Barnsley","!"
"Chinese","Bradford","!"
"Chinese","Calderdale","!"
"Chinese","Doncaster","!"
"Chinese","East Riding of Yorkshire","!"
"Chinese","Kingston upon Hull, City of","100"
"Chinese","Kirklees","!"
"Chinese","Leeds","86"
"Chinese","North East Lincolnshire","100"
"Chinese","North Lincolnshire","!"
"Chinese","North Yorkshire","100"
"Chinese","Rotherham","81"
"Chinese","Sheffield","81"
"Chinese","Wakefield","83"
"Chinese","York","63"
"Chinese","Derby","81"
"Chinese","Derbyshire","80"
"Chinese","Leicester","69"
"Chinese","Leicestershire","85"
"Chinese","Lincolnshire","!"
"Chinese","Northamptonshire","87"
"Chinese","Nottingham","84"
"Chinese","Nottinghamshire","80"
"Chinese","Rutland","!"
"Chinese","Birmingham","89"
"Chinese","Coventry","!"
"Chinese","Dudley","!"
"Chinese","Herefordshire, County of","!"
"Chinese","Sandwell","!"
"Chinese","Shropshire","!"
"Chinese","Solihull","!"
"Chinese","Staffordshire","87"
"Chinese","Stoke-on-Trent","82"
"Chinese","Telford and Wrekin","!"
"Chinese","Walsall","!"
"Chinese","Warwickshire","!"
"Chinese","Wolverhampton","!"
"Chinese","Worcestershire","!"
"Chinese","Bedford","!"
"Chinese","Cambridgeshire","89"
"Chinese","Central Bedfordshire","100"
"Chinese","Essex","88"
"Chinese","Hertfordshire","!"
"Chinese","Luton","75"
"Chinese","Norfolk","90"
"Chinese","Peterborough","!"
"Chinese","Southend-on-Sea","!"
"Chinese","Suffolk","!"
"Chinese","Thurrock","!"
"Chinese","Camden","!"
"Chinese","City of London","!"
"Chinese","Hackney","87"
"Chinese","Hammersmith and Fulham","100"
"Chinese","Haringey","80"
"Chinese","Islington","100"
"Chinese","Kensington and Chelsea","!"
"Chinese","Lambeth","86"
"Chinese","Lewisham","86"
"Chinese","Newham","88"
"Chinese","Southwark","84"
"Chinese","Tower Hamlets","!"
"Chinese","Wandsworth","84"
"Chinese","Westminster","!"
"Chinese","Barking and Dagenham","!"
"Chinese","Barnet","92"
"Chinese","Bexley","93"
"Chinese","Brent","!"
"Chinese","Bromley","86"
"Chinese","Croydon","!"
"Chinese","Ealing","!"
"Chinese","Enfield","!"
"Chinese","Greenwich","92"
"Chinese","Harrow","100"
"Chinese","Havering","100"
"Chinese","Hillingdon","!"
"Chinese","Hounslow","!"
"Chinese","Kingston upon Thames","!"
"Chinese","Merton","85"
"Chinese","Redbridge","86"
"Chinese","Richmond upon Thames","90"
"Chinese","Sutton","!"
"Chinese","Waltham Forest","80"
"Chinese","Bracknell Forest","!"
"Chinese","Brighton and Hove","81"
"Chinese","Buckinghamshire","!"
"Chinese","East Sussex","!"
"Chinese","Hampshire","85"
"Chinese","Isle of Wight","!"
"Chinese","Kent","93"
"Chinese","Medway","!"
"Chinese","Milton Keynes","81"
"Chinese","Oxfordshire","!"
"Chinese","Portsmouth","!"
"Chinese","Reading","100"
"Chinese","Slough","!"
"Chinese","Southampton","100"
"Chinese","Surrey","84"
"Chinese","West Berkshire","100"
"Chinese","West Sussex","100"
"Chinese","Windsor and Maidenhead","!"
"Chinese","Wokingham","100"
"Chinese","Bath and North East Somerset","77"
"Chinese","Bournemouth","!"
"Chinese","Bristol, City of","79"
"Chinese","Cornwall","73"
"Chinese","Devon","!"
"Chinese","Dorset","!"
"Chinese","Gloucestershire","83"
"Chinese","Isles of Scilly","!"
"Chinese","North Somerset","63"
"Chinese","Plymouth","77"
"Chinese","Poole","!"
"Chinese","Somerset","67"
"Chinese","South Gloucestershire","!"
"Chinese","Swindon","!"
"Chinese","Torbay","100"
"Chinese","Wiltshire","!"
"Black","County Durham","!"
"Black","Darlington","100"
"Black","Gateshead","75"
"Black","Hartlepool","100"
"Black","Middlesbrough","88"
"Black","Newcastle upon Tyne","88"
"Black","North Tyneside","73"
"Black","Northumberland","!"
"Black","Redcar and Cleveland","!"
"Black","South Tyneside","!"
"Black","Stockton-on-Tees","89"
"Black","Sunderland","86"
"Black","Blackburn with Darwen","67"
"Black","Blackpool","!"
"Black","Bolton","77"
"Black","Bury","84"
"Black","Cheshire East","!"
"Black","Cheshire West and Chester","!"
"Black","Cumbria","!"
"Black","Halton","!"
"Black","Knowsley","67"
"Black","Lancashire","83"
"Black","Liverpool","79"
"Black","Manchester","84"
"Black","Oldham","69"
"Black","Rochdale","84"
"Black","Salford","83"
"Black","Sefton","77"
"Black","St. Helens","!"
"Black","Stockport","79"
"Black","Tameside","74"
"Black","Trafford","77"
"Black","Warrington","!"
"Black","Wigan","77"
"Black","Wirral","!"
"Black","Barnsley","85"
"Black","Bradford","82"
"Black","Calderdale","!"
"Black","Doncaster","88"
"Black","East Riding of Yorkshire","!"
"Black","Kingston upon Hull, City of","68"
"Black","Kirklees","73"
"Black","Leeds","75"
"Black","North East Lincolnshire","100"
"Black","North Lincolnshire","69"
"Black","North Yorkshire","74"
"Black","Rotherham","82"
"Black","Sheffield","77"
"Black","Wakefield","79"
"Black","York","!"
"Black","Derby","84"
"Black","Derbyshire","86"
"Black","Leicester","80"
"Black","Leicestershire","90"
"Black","Lincolnshire","!"
"Black","Northamptonshire","83"
