"Title","People claiming Income Support by ethnicity over time"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","Nomis http://www.nomisweb.co.uk"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Date","Region","Ethnicity","Value"
"2011","All","White","3.2"
"2012","All","White","2.6"
"2013","All","White","2"
"2014","All","White","1.7"
"2015","All","White","1.5"
"2011","All","Other","3.6"
"2012","All","Other","2.9"
"2013","All","Other","2.1"
"2014","All","Other","1.7"
"2015","All","Other","1.5"
