"Title","People claiming Income Support by ethnicity and region"
"Location","England and Wales"
"Time period","2015"
"Data source","Nomis http://www.nomisweb.co.uk"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Date","Region","Ethnicity","Value"
"2015","East","All","1.5"
"2015","East Midlands","All","1.7"
"2015","London","All","1.7"
"2015","North East","All","2.6"
"2015","North West","All","2.2"
"2015","South East","All","1.3"
"2015","South West","All","1.5"
"2015","Wales","All","2.3"
"2015","West Midlands","All","2.2"
"2015","Yorkshire and The Humber","All","2"
"2015","East","Other","1"
"2015","East Midlands","Other","1.3"
"2015","London","Other","1.8"
"2015","North East","Other","1"
"2015","North West","Other","1.6"
"2015","South East","Other","0.8"
"2015","South West","Other","1"
"2015","Wales","Other","1"
"2015","West Midlands","Other","1.9"
"2015","Yorkshire and The Humber","Other","1.8"
"2015","East","White","1.3"
"2015","East Midlands","White","1.5"
"2015","London","White","1.3"
"2015","North East","White","2.3"
"2015","North West","White","1.9"
"2015","South East","White","1.2"
"2015","South West","White","1.3"
"2015","Wales","White","2"
"2015","West Midlands","White","1.8"
"2015","Yorkshire and The Humber","White","1.8"
