"Ethnicity","%","Number of reoffenders","Average number of reoffences per reoffender"
"Asian","24.5","1,795","3.31"
"Black","33.9","4,090","3.52"
"White","30.7","32,015","3.92"
"Other","20.4","307","2.91"
"Unknown","6.3","317","2.96"
