"","Juvenile","","","Adult","",""
"Ethnicity","%","Number of reoffenders","Average number of reoffences","%","Number of reoffenders","Average number of reoffences"
"All","43.1","3,875","3.89","29.6","34,332","3.83"
"Asian","37.8","176","3.26","23.6","1,619","3.32"
"Black","50.6","613","3.62","32.0","3,477","3.50"
"White","42.3","3,062","3.99","29.9","28,953","3.91"
"Other","39.3","24","?","19.6","283","2.96"
