"Title","Feeling the things you do in your life are worthwhile, by ethnicity and sex"
"Location","UK"
"Time period","2014 to 2016 combined"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeingworthwhile"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"","Female","Male"
"","",""
"All","7.96","7.73"
"Arab","7.93","7.75"
"Bangladeshi","7.90","7.69"
"Chinese","7.81","7.69"
"Indian","7.90","7.84"
"Pakistani","8.00","7.74"
"Asian other","7.84","7.69"
"Black","7.74","7.57"
"Mixed","7.81","7.53"
"White","7.97","7.73"
"White Gypsy/Traveller","?","?"
"Other","7.87","7.60"
