"Title","Feeling the things you do in your life are worthwhile, by ethnicity"
"Location","UK"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeingworthwhile"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Ethnicity","Average score"
"All","7.85"
"Bangladeshi","7.65"
"Chinese","7.74"
"Indian","7.90"
"Pakistani","7.86"
"Asian other","7.82"
"Black / African / Caribbean / Black British","7.65"
"Mixed","7.72"
"White","7.86"
"Other ethnic group","7.81"
"Arab","7.75"
"Gypsy / Traveller / Irish Traveller","?"
