"Sex","Ethnicity",""
"Female","All","7.96"
"Female","Arab","7.93"
"Female","Bangladeshi","7.90"
"Female","Chinese","7.81"
"Female","Indian","7.90"
"Female","Pakistani","8.00"
"Female","Asian other","7.84"
"Female","Black","7.74"
"Female","Mixed","7.81"
"Female","White","7.97"
"Female","White Gypsy/Traveller","?"
"Female","Other","7.87"
"Male","All","7.73"
"Male","Arab","7.75"
"Male","Bangladeshi","7.69"
"Male","Chinese","7.69"
"Male","Indian","7.84"
"Male","Pakistani","7.74"
"Male","Asian other","7.69"
"Male","Black","7.57"
"Male","Mixed","7.53"
"Male","White","7.73"
"Male","White Gypsy/Traveller","?"
"Male","Other","7.60"
