"Ethnicity","Average score"
"All","7.88"
"Arab","7.68"
"Bangladeshi","7.74"
"Chinese","7.61"
"Indian","7.90"
"Pakistani","7.91"
"Asian other","7.82"
"Black","7.72"
"Mixed","7.69"
"White","7.89"
"White Gypsy/Traveller","?"
"Other","7.89"
