"Title","Police workforce"
"Location","England and Wales"
"Time period","2007 to 2016"
"Data source","Home Office"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","21 July 2016"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Rank","Rank_type","Geography","Geography_type","FTE","Headcount","Population by ethnicity, gender, and PFA (based on 2011 Census)","Rate per 100,000 population by ethnicity, gender, and PFA (Based on FTE except Special Constables)","Proportion of workforce of this ethnicity in this aggregated rank, in this year, and this PFA (excludes unreported)","Proportion of population of this ethnicity in this PFA (based on 2011 Census)"
"Rate per population","2007","As at 31/3","Black","ONS 2001 5+1","All","All","Traffic Warden","Aggregate Officer/Staff","South Yorkshire","Police Force Area","0","0","25,752","0","0%","2%"
"Rate per population","2007","As at 31/3","Black","ONS 2001 5+1","All","All","Traffic Warden","Aggregate Officer/Staff","Staffordshire","Police Force Area","0","0","8,551","0","0%","1%"
"Rate per population","2007","As at 31/3","Black","ONS 2001 5+1","All","All","Traffic Warden","Aggregate Officer/Staff","Suffolk","Police Force Area","0","0","6,854","0","0%","1%"
"Rate per population","2007","As at 31/3","Black","ONS 2001 5+1","All","All","Traffic Warden","Aggregate Officer/Staff","Surrey","Police Force Area","0","0","12,430","0","0%","1%"
"Rate per population","2007","As at 31/3","Black","ONS 2001 5+1","All","All","Traffic Warden","Aggregate Officer/Staff","Sussex","Police Force Area","0","0","14,246","0","0%","1%"
"Rate per population","2007","As at 31/3","Black","ONS 2001 5+1","All","All","Traffic Warden","Aggregate Officer/Staff","Thames Valley","Police Force Area","0","0","69,013","0","0%","3%"
"Rate per population","2007","As at 31/3","Black","ONS 2001 5+1","All","All","Traffic Warden","Aggregate Officer/Staff","Warwickshire","Police Force Area","0","0","4,443","0","0%","1%"
"Rate per population","2007","As at 31/3","Black","ONS 2001 5+1","All","All","Traffic Warden","Aggregate Officer/Staff","West Mercia","Police Force Area","0","0","5,062","0","0%","0%"
"Rate per population","2007","As at 31/3","Black","ONS 2001 5+1","All","All","Traffic Warden","Aggregate Officer/Staff","West Midlands","Police Force Area","0","0","164,069","0","0%","6%"
"Rate per population","2007","As at 31/3","Black","ONS 2001 5+1","All","All","Traffic Warden","Aggregate Officer/Staff","West Yorkshire","Police Force Area","0","0","46,476","0","0%","2%"
"Rate per population","2007","As at 31/3","Black","ONS 2001 5+1","All","All","Traffic Warden","Aggregate Officer/Staff","Wiltshire","Police Force Area","0","0","6,089","0","0%","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","All","All","All - including BTP","Police Force Area","2,235","2,428","1,224,400","182.55","1%","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","All - including BTP","Police Force Area","23","23","1,224,400","1.88","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Avon & Somerset","Police Force Area","0","0","28,277","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Bedfordshire","Police Force Area","0","0","18,456","0","N/A","3%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","British Transport Police","Police Force Area","1","1","N/A","N/A","N/A","N/A"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Cambridgeshire","Police Force Area","1","1","16,029","6.24","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Cheshire","Police Force Area","0","0","10,423","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Cleveland","Police Force Area","0","0","5,762","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Cumbria","Police Force Area","1","1","2,504","39.94","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Derbyshire","Police Force Area","0","0","14,351","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Devon & Cornwall","Police Force Area","0","0","15,645","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Dorset","Police Force Area","0","0","9,507","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Durham","Police Force Area","0","0","4,240","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Dyfed-Powys","Police Force Area","0","0","3,262","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Essex","Police Force Area","1","1","27,635","3.62","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Gloucestershire","Police Force Area","1","1","8,661","11.55","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Greater Manchester","Police Force Area","6","6","60,710","9.88","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Gwent","Police Force Area","0","0","5,547","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Hampshire","Police Force Area","2","2","30,905","6.47","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Hertfordshire","Police Force Area","0","0","27,497","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Humberside","Police Force Area","0","0","8,185","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Kent","Police Force Area","1","1","27,283","3.67","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Lancashire","Police Force Area","0","0","16,300","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Leicestershire","Police Force Area","0","0","20,520","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Lincolnshire","Police Force Area","0","0","6,190","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","London, City of","Police Force Area","1","1","N/A","N/A","N/A","4%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Merseyside","Police Force Area","1","1","20,954","4.77","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Metropolitan Police","Police Force Area","5","5","404,990","1.23","N/A","5%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Norfolk","Police Force Area","0","0","10,027","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","North Wales","Police Force Area","0","0","4,950","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","North Yorkshire","Police Force Area","0","0","7,456","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Northamptonshire","Police Force Area","0","0","14,182","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Northumbria","Police Force Area","0","0","12,447","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Nottinghamshire","Police Force Area","0","0","30,981","0","N/A","3%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","South Wales","Police Force Area","0","0","17,762","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","South Yorkshire","Police Force Area","0","0","20,791","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Staffordshire","Police Force Area","0","0","14,095","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Suffolk","Police Force Area","0","0","12,472","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Surrey","Police Force Area","0","0","23,554","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Sussex","Police Force Area","0","0","30,036","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Thames Valley","Police Force Area","0","0","55,986","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Warwickshire","Police Force Area","0","0","7,949","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","West Mercia","Police Force Area","0","0","13,466","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","West Midlands","Police Force Area","1","1","96,204","1.04","N/A","4%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","West Yorkshire","Police Force Area","1","1","48,126","2.08","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Wiltshire","Police Force Area","0","0","9,794","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","All - including BTP","Police Force Area","2","2","1,224,400","0.16","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Avon & Somerset","Police Force Area","0","0","28,277","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Bedfordshire","Police Force Area","0","0","18,456","0","N/A","3%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","British Transport Police","Police Force Area","0","0","N/A","N/A","N/A","N/A"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Cambridgeshire","Police Force Area","0","0","16,029","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Cheshire","Police Force Area","0","0","10,423","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Cleveland","Police Force Area","0","0","5,762","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Cumbria","Police Force Area","0","0","2,504","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Derbyshire","Police Force Area","0","0","14,351","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Devon & Cornwall","Police Force Area","0","0","15,645","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Dorset","Police Force Area","0","0","9,507","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Durham","Police Force Area","0","0","4,240","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Dyfed-Powys","Police Force Area","0","0","3,262","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Essex","Police Force Area","0","0","27,635","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Gloucestershire","Police Force Area","0","0","8,661","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Greater Manchester","Police Force Area","0","0","60,710","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Gwent","Police Force Area","0","0","5,547","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Hampshire","Police Force Area","0","0","30,905","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Hertfordshire","Police Force Area","0","0","27,497","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Humberside","Police Force Area","0","0","8,185","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Kent","Police Force Area","0","0","27,283","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Lancashire","Police Force Area","0","0","16,300","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Leicestershire","Police Force Area","0","0","20,520","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Lincolnshire","Police Force Area","0","0","6,190","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","London, City of","Police Force Area","0","0","N/A","N/A","N/A","4%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Merseyside","Police Force Area","1","1","20,954","4.77","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Metropolitan Police","Police Force Area","0","0","404,990","0","N/A","5%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Norfolk","Police Force Area","0","0","10,027","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","North Wales","Police Force Area","0","0","4,950","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","North Yorkshire","Police Force Area","0","0","7,456","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Northamptonshire","Police Force Area","0","0","14,182","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Northumbria","Police Force Area","0","0","12,447","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Nottinghamshire","Police Force Area","0","0","30,981","0","N/A","3%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","South Wales","Police Force Area","1","1","17,762","5.63","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","South Yorkshire","Police Force Area","0","0","20,791","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Staffordshire","Police Force Area","0","0","14,095","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Suffolk","Police Force Area","0","0","12,472","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Surrey","Police Force Area","0","0","23,554","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Sussex","Police Force Area","0","0","30,036","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Thames Valley","Police Force Area","0","0","55,986","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Warwickshire","Police Force Area","0","0","7,949","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","West Mercia","Police Force Area","0","0","13,466","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","West Midlands","Police Force Area","0","0","96,204","0","N/A","4%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","West Yorkshire","Police Force Area","0","0","48,126","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Wiltshire","Police Force Area","0","0","9,794","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","All - including BTP","Police Force Area","3","3","1,224,400","0.25","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Avon & Somerset","Police Force Area","0","0","28,277","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Bedfordshire","Police Force Area","0","0","18,456","0","N/A","3%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","British Transport Police","Police Force Area","0","0","N/A","N/A","N/A","N/A"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Cambridgeshire","Police Force Area","0","0","16,029","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Cheshire","Police Force Area","0","0","10,423","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Cleveland","Police Force Area","0","0","5,762","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Cumbria","Police Force Area","0","0","2,504","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Derbyshire","Police Force Area","0","0","14,351","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Devon & Cornwall","Police Force Area","0","0","15,645","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Dorset","Police Force Area","0","0","9,507","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Durham","Police Force Area","0","0","4,240","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Dyfed-Powys","Police Force Area","0","0","3,262","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Essex","Police Force Area","0","0","27,635","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Gloucestershire","Police Force Area","0","0","8,661","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Greater Manchester","Police Force Area","0","0","60,710","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Gwent","Police Force Area","0","0","5,547","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Hampshire","Police Force Area","0","0","30,905","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Hertfordshire","Police Force Area","0","0","27,497","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Humberside","Police Force Area","0","0","8,185","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Kent","Police Force Area","1","1","27,283","3.67","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Lancashire","Police Force Area","0","0","16,300","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Leicestershire","Police Force Area","0","0","20,520","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Lincolnshire","Police Force Area","0","0","6,190","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","London, City of","Police Force Area","0","0","N/A","N/A","N/A","4%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Merseyside","Police Force Area","0","0","20,954","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Metropolitan Police","Police Force Area","0","0","404,990","0","N/A","5%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Norfolk","Police Force Area","0","0","10,027","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","North Wales","Police Force Area","0","0","4,950","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","North Yorkshire","Police Force Area","0","0","7,456","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Northamptonshire","Police Force Area","0","0","14,182","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Northumbria","Police Force Area","0","0","12,447","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Nottinghamshire","Police Force Area","0","0","30,981","0","N/A","3%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","South Wales","Police Force Area","0","0","17,762","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","South Yorkshire","Police Force Area","0","0","20,791","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Staffordshire","Police Force Area","0","0","14,095","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Suffolk","Police Force Area","0","0","12,472","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Surrey","Police Force Area","0","0","23,554","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Sussex","Police Force Area","0","0","30,036","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Thames Valley","Police Force Area","1","1","55,986","1.79","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Warwickshire","Police Force Area","0","0","7,949","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","West Mercia","Police Force Area","0","0","13,466","0","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","West Midlands","Police Force Area","0","0","96,204","0","N/A","4%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","West Yorkshire","Police Force Area","0","0","48,126","0","N/A","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Wiltshire","Police Force Area","1","1","9,794","10.21","N/A","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Community Support Officer","Aggregate Officer/Staff","All - including BTP","Police Force Area","247","251","1,224,400","20.15","2%","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Community Support Officer","Aggregate Officer/Staff","Avon & Somerset","Police Force Area","4","4","28,277","14.15","1%","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Community Support Officer","Aggregate Officer/Staff","Bedfordshire","Police Force Area","3","3","18,456","16.25","4%","3%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Community Support Officer","Aggregate Officer/Staff","British Transport Police","Police Force Area","14","15","N/A","N/A","6%","N/A"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Community Support Officer","Aggregate Officer/Staff","Cambridgeshire","Police Force Area","4","4","16,029","24.95","2%","2%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Community Support Officer","Aggregate Officer/Staff","Cheshire","Police Force Area","0","0","10,423","0","0%","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Community Support Officer","Aggregate Officer/Staff","Cleveland","Police Force Area","0","0","5,762","0","0%","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Community Support Officer","Aggregate Officer/Staff","Cumbria","Police Force Area","1","1","2,504","39.94","1%","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Community Support Officer","Aggregate Officer/Staff","Derbyshire","Police Force Area","2","2","14,351","13.94","1%","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Community Support Officer","Aggregate Officer/Staff","Devon & Cornwall","Police Force Area","1","1","15,645","6.39","0%","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Community Support Officer","Aggregate Officer/Staff","Dorset","Police Force Area","1","1","9,507","10.52","1%","1%"
"Rate per population","2007","As at 31/3","Mixed","ONS 2001 5+1","All","All","Community Support Officer","Aggregate Officer/Staff","Durham","Police Force Area","1","1","4,240","23.58","1%","1%"
