"Title","Special constables by ethnicity"
"Location","England and Wales"
"Time period","2017"
"Data source","Police workforce, England and Wales, 31 March 2017"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Ethnicity","%","% of population (2011)","Number (Headcount) of Special Constables"
"Asian","6.2","6.8","784"
"Black","1.8","3.3","230"
"Mixed","2.1","2.2","261"
"White","88.5","86.0","11,112"
"Other","1.3","1.7","169"
"Unknown","N/A","N/A","947"
