"Title"," Representation of learners starting an apprenticeship by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Apprenticeship statistics https://www.gov.uk/government/statistical-data-sets/fe-data-library-apprenticeships"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Population estimate","Apprenticeship starts"
"White","84.6","88.1"
"Black","3.7","3.4"
"Asian","8.2","4.2"
"Mixed","2.6","2.2"
"Other","1.1","0.7"
