"Title","Apprenticeship starts by ethnicity"
"Location","England"
"Time period","2002/03 to 2015/16"
"Data source","Apprenticeship statistics https://www.gov.uk/government/statistical-data-sets/fe-data-library-apprenticeships"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value"
"All England apprenticeship starts","2007/08","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","6500"
"All England apprenticeship starts","2007/08","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3600"
"All England apprenticeship starts","2007/08","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3150"
"All England apprenticeship starts","2007/08","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","208230"
"All England apprenticeship starts","2007/08","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1000"
"All England apprenticeship starts","2007/08","Academic Year","Unknown","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2290"
"All England apprenticeship starts","2007/08","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","224800"
"All England apprenticeship starts","2007/08","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","222480"
"All England apprenticeship starts","2008/09","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","9450"
"All England apprenticeship starts","2008/09","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","5110"
"All England apprenticeship starts","2008/09","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3840"
"All England apprenticeship starts","2008/09","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","217890"
"All England apprenticeship starts","2008/09","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1220"
"All England apprenticeship starts","2008/09","Academic Year","Unknown","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2450"
"All England apprenticeship starts","2008/09","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","239900"
"All England apprenticeship starts","2008/09","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","237510"
"All England apprenticeship starts","2009/10","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","254780"
"All England apprenticeship starts","2009/10","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1430"
"All England apprenticeship starts","2009/10","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","5020"
"All England apprenticeship starts","2009/10","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","6390"
