"Title","New social housing lettings by ethnicity and age"
"Location","England"
"Time period","2015/16"
"Data source","Social housing lettings statistics https://www.gov.uk/government/collections/rents-lettings-and-tenancies"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Age","Distribution by Age of main tenant new Lettings","Distribution by Age of Population by ethnic group"
"White: Gypsy, Irish Traveller","40 - 49 yrs old","15.9","18.1"
"Other Ethnic group: Arab","40 - 49 yrs old","19.8","19.7"
"White: English, Scottish, Welsh, Northern Irish, British","50 - 59 yrs old","12.2","16.8"
"White: Irish","50 - 59 yrs old","15.2","16.7"
"White: Other","50 - 59 yrs old","10.7","10.9"
"Mixed: White & Black Caribbean","50 - 59 yrs old","5.6","9"
"Mixed: White & Black African","50 - 59 yrs old","9.1","10.7"
"Mixed: White & Asian","50 - 59 yrs old","7.6","9.1"
"Mixed: Other","50 - 59 yrs old","8.4","9.7"
"Asian/Asian British: Indian","50 - 59 yrs old","12","13.8"
"Asian/Asian British: Pakistani","50 - 59 yrs old","5.6","9.8"
"Asian/Asian British: Bangladeshi","50 - 59 yrs old","6.6","8.2"
"Asian/Asian British: Other","50 - 59 yrs old","8.6","12.4"
"Black, African, Caribbean or Black British: Caribbean","50 - 59 yrs old","14.1","21.6"
"Black, African, Caribbean or Black British: African","50 - 59 yrs old","9.2","12.8"
"Black, African, Caribbean or Black British: Other","50 - 59 yrs old","11.9","16.1"
"Asian/Asian British: Chinese","50 - 59 yrs old","11.3","11.6"
"Other Ethnic group: Other","50 - 59 yrs old","9.4","12.9"
"White: Gypsy, Irish Traveller","50 - 59 yrs old","12.5","14.3"
"Other Ethnic group: Arab","50 - 59 yrs old","9.8","11"
"White: English, Scottish, Welsh, Northern Irish, British","60 - 69 yrs old","10","14.9"
"White: Irish","60 - 69 yrs old","15","18.2"
"White: Other","60 - 69 yrs old","5.6","6.2"
"Mixed: White & Black Caribbean","60 - 69 yrs old","1.5","3"
"Mixed: White & Black African","60 - 69 yrs old","4.4","4.2"
"Mixed: White & Asian","60 - 69 yrs old","3.4","4.2"
"Mixed: Other","60 - 69 yrs old","3.7","4.8"
"Asian/Asian British: Indian","60 - 69 yrs old","9","9.7"
"Asian/Asian British: Pakistani","60 - 69 yrs old","3.6","5.9"
"Asian/Asian British: Bangladeshi","60 - 69 yrs old","3","4.1"
"Asian/Asian British: Other","60 - 69 yrs old","6.3","7.2"
"Black, African, Caribbean or Black British: Caribbean","60 - 69 yrs old","4.4","8"
"Black, African, Caribbean or Black British: African","60 - 69 yrs old","3.4","4.2"
"Black, African, Caribbean or Black British: Other","60 - 69 yrs old","3.2","3.7"
"Asian/Asian British: Chinese","60 - 69 yrs old","12.9","7.1"
"Other Ethnic group: Other","60 - 69 yrs old","4.5","7.4"
"White: Gypsy, Irish Traveller","60 - 69 yrs old","3.2","8.5"
"Other Ethnic group: Arab","60 - 69 yrs old","4.6","5.6"
"White: English, Scottish, Welsh, Northern Irish, British","70 - 79 yrs old","5.8","10.4"
"White: Irish","70 - 79 yrs old","11.4","16.6"
"White: Other","70 - 79 yrs old","1.6","3.3"
"Mixed: White & Black Caribbean","70 - 79 yrs old","0.9","2.1"
"Mixed: White & Black African","70 - 79 yrs old","3.2","1.6"
"Mixed: White & Asian","70 - 79 yrs old","1.5","2.2"
"Mixed: Other","70 - 79 yrs old","1.6","2.6"
"Asian/Asian British: Indian","70 - 79 yrs old","4.6","5.2"
"Asian/Asian British: Pakistani","70 - 79 yrs old","1.7","3.3"
"Asian/Asian British: Bangladeshi","70 - 79 yrs old","1.6","3"
"Asian/Asian British: Other","70 - 79 yrs old","2.9","3.1"
"Black, African, Caribbean or Black British: Caribbean","70 - 79 yrs old","3.8","8.3"
"Black, African, Caribbean or Black British: African","70 - 79 yrs old","1.4","1.9"
"Black, African, Caribbean or Black British: Other","70 - 79 yrs old","1.5","2.4"
"Asian/Asian British: Chinese","70 - 79 yrs old","3.6","3"
"Other Ethnic group: Other","70 - 79 yrs old","2.7","3.4"
"White: Gypsy, Irish Traveller","70 - 79 yrs old","2","4.4"
"Other Ethnic group: Arab","70 - 79 yrs old","1.8","2.4"
"White: English, Scottish, Welsh, Northern Irish, British","80 + yrs old","4.4","6.8"
"White: Irish","80 + yrs old","6.1","9.9"
"White: Other","80 + yrs old","1.1","2.1"
"Mixed: White & Black Caribbean","80 + yrs old","0.6","1.3"
"Mixed: White & Black African","80 + yrs old","1.2","0.6"
"Mixed: White & Asian","80 + yrs old","0.3","1.2"
"Mixed: Other","80 + yrs old","0.5","1.2"
"Asian/Asian British: Indian","80 + yrs old","2.3","2.4"
"Asian/Asian British: Pakistani","80 + yrs old","0.8","1.5"
"Asian/Asian British: Bangladeshi","80 + yrs old","0.8","1.1"
"Asian/Asian British: Other","80 + yrs old","1","1.2"
"Black, African, Caribbean or Black British: Caribbean","80 + yrs old","2.5","4.8"
"Black, African, Caribbean or Black British: African","80 + yrs old","0.3","0.5"
"Black, African, Caribbean or Black British: Other","80 + yrs old","0.8","1.1"
"Asian/Asian British: Chinese","80 + yrs old","6.2","1.4"
"Other Ethnic group: Other","80 + yrs old","1","1.6"
"White: Gypsy, Irish Traveller","80 + yrs old","1.1","1.7"
"Other Ethnic group: Arab","80 + yrs old","0.8","1"
"Asian","18 - 24 yrs old","13.4","14.4"
"Black","18 - 24 yrs old","17.1","15.9"
"Mixed","18 - 24 yrs old","28.2","25.4"
"Other","18 - 24 yrs old","14.6","14.3"
"White","18 - 24 yrs old","20.3","10.3"
"Asian","25 - 29 yrs old","15.6","13.1"
"Black","25 - 29 yrs old","15.3","10.7"
"Mixed","25 - 29 yrs old","18.2","15"
"Other","25 - 29 yrs old","15.1","12.6"
"White","25 - 29 yrs old","13.5","7.8"
"Asian","30 - 39 yrs old","33.6","26"
"Black","30 - 39 yrs old","28","20.5"
"Mixed","30 - 39 yrs old","25.1","21.2"
"Other","30 - 39 yrs old","31.6","27.4"
"White","30 - 39 yrs old","18.6","15"
"Asian","40 - 49 yrs old","18.9","18.4"
"Black","40 - 49 yrs old","19.9","21.3"
"Mixed","40 - 49 yrs old","12.8","14.7"
"Other","40 - 49 yrs old","19.6","19.6"
"White","40 - 49 yrs old","14","16.7"
"Asian","50 - 59 yrs old","7.9","11.7"
"Black","50 - 59 yrs old","11.3","16.1"
"Mixed","50 - 59 yrs old","7.1","9.3"
"Other","50 - 59 yrs old","9.5","12.1"
"White","50 - 59 yrs old","12.1","16.5"
"Asian","60 - 69 yrs old","5.5","7.4"
"Black","60 - 69 yrs old","3.7","5.4"
"Mixed","60 - 69 yrs old","2.7","3.9"
"Other","60 - 69 yrs old","4.5","6.6"
"White","60 - 69 yrs old","9.8","14.4"
"Asian","70 - 79 yrs old","2.5","3.8"
"Black","70 - 79 yrs old","2.2","4.1"
"Mixed","70 - 79 yrs old","1.5","2.2"
"Other","70 - 79 yrs old","2.5","3"
"White","70 - 79 yrs old","5.6","10.1"
"Asian","80 + yrs old","1.3","1.7"
"Black","80 + yrs old","1.1","2"
"Mixed","80 + yrs old","0.6","1.2"
"Other","80 + yrs old","0.9","1.4"
"White","80 + yrs old","4.2","6.6"
"Asian","16 - 17 yrs old","1.2","3.5"
"Black","16 - 17 yrs old","1.3","4"
"Mixed","16 - 17 yrs old","3.8","7.2"
"Other","16 - 17 yrs old","1.6","3.1"
"White","16 - 17 yrs old","1.9","2.7"
