"Title","New social housing lettings by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Social housing lettings statistics https://www.gov.uk/government/collections/rents-lettings-and-tenancies"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity_type","Ethnicity","Number of New Lettings","Proportion out of New Lettings","Population of subgroup","Proportion of Population in each group"
"ONS 2011 18+1","White: English, Scottish, Welsh, Northern Irish, British","280045","78.7","43178175","78.8"
"ONS 2011 18+1","White: Irish","2041","0.6","500119","0.9"
"ONS 2011 18+1","White: Other","14940","4.2","2587450","4.7"
"ONS 2011 18+1","Mixed: White & Black Caribbean","5098","1.4","477696","0.9"
"ONS 2011 18+1","Mixed: White & Black African","1754","0.5","194868","0.4"
"ONS 2011 18+1","Mixed: White & Asian","1272","0.4","396396","0.7"
"ONS 2011 18+1","Mixed: Other","2524","0.7","330593","0.6"
"ONS 2011 18+1","Asian/Asian British: Indian","2686","0.8","1479547","2.7"
"ONS 2011 18+1","Asian/Asian British: Pakistani","5051","1.4","1221419","2.2"
"ONS 2011 18+1","Asian/Asian British: Bangladeshi","3332","0.9","484322","0.9"
"ONS 2011 18+1","Asian/Asian British: Other","4239","1.2","880809","1.6"
"ONS 2011 18+1","Black, African, Caribbean or Black British: Caribbean","8987","2.5","608288","1.1"
"ONS 2011 18+1","Black, African, Caribbean or Black British: African","13492","3.8","1080080","2"
"ONS 2011 18+1","Black, African, Caribbean or Black British: Other","3322","0.9","311852","0.6"
"ONS 2011 18+1","Asian/Asian British: Chinese","630","0.2","400423","0.7"
"ONS 2011 18+1","Other Ethnic group: Other","4384","1.2","350391","0.6"
"ONS 2011 18+1","White: Gypsy, Irish Traveller","357","0.1","59903","0.1"
"ONS 2011 18+1","Other Ethnic group: Arab","1744","0.5","243996","0.4"
"ONS 2011 5+1","Asian","15938","4.5","4457109","8.1"
"ONS 2011 5+1","Black","25801","7.2","2000835","3.7"
"ONS 2011 5+1","Mixed","10648","3","1403222","2.6"
"ONS 2011 5+1","Other","6128","1.7","594330","1.1"
"ONS 2011 5+1","White","297383","83.6","46330834","84.6"
