"Title","New social housing lettings by ethnicity and income"
"Location","England"
"Time period","2015/16"
"Data source","Social housing lettings statistics https://www.gov.uk/government/collections/rents-lettings-and-tenancies"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity"," Number of New Lettings ","Income","Distribution by Income of main tenant new Lettings"
"White: English, Scottish, Welsh, Northern Irish, British","33,993","Less than £100","22.1"
"White: Irish","283","Less than £100","25.4"
"White: Other","825","Less than £100","9.5"
"Mixed: White & Black Caribbean","1,106","Less than £100","35.9"
"Mixed: White & Black African","274","Less than £100","26.5"
"Mixed: White & Asian","264","Less than £100","33.4"
"Mixed: Other","334","Less than £100","23.8"
"Asian/Asian British: Indian","415","Less than £100","25.4"
"Asian/Asian British: Pakistani","854","Less than £100","26.6"
"Asian/Asian British: Bangladeshi","269","Less than £100","15.8"
"Asian/Asian British: Other","729","Less than £100","28.9"
"Black, African, Caribbean or Black British: Caribbean","1,727","Less than £100","32.5"
"Black, African, Caribbean or Black British: African","2,265","Less than £100","27.4"
"Black, African, Caribbean or Black British: Other","436","Less than £100","24.9"
"Asian/Asian British: Chinese","51","Less than £100","15.8"
"Other Ethnic group: Other","845","Less than £100","32.5"
"White: Gypsy, Irish Traveller","54","Less than £100","26.8"
"Other Ethnic group: Arab","426","Less than £100","40.4"
"Asian","2,318","Less than £100","24.7"
"Black","4,428","Less than £100","28.9"
"Mixed","1,978","Less than £100","31.4"
"Other","1,271","Less than £100","34.7"
"White","35,155","Less than £100","21.5"
"Asian","2,330","£100 to £199","24.8"
"Black","3,544","£100 to £199","23.1"
"Mixed","1,621","£100 to £199","25.7"
"Other","910","£100 to £199","24.9"
"White","45,585","£100 to £199","27.8"
"White: English, Scottish, Welsh, Northern Irish, British","43,791","£100 to £199","28.5"
"White: Irish","375","£100 to £199","33.7"
"White: Other","1,361","£100 to £199","15.7"
"Mixed: White & Black Caribbean","825","£100 to £199","26.8"
"Mixed: White & Black African","266","£100 to £199","25.7"
"Mixed: White & Asian","210","£100 to £199","26.5"
"Mixed: Other","320","£100 to £199","22.8"
"Asian/Asian British: Indian","444","£100 to £199","27.1"
"Asian/Asian British: Pakistani","710","£100 to £199","22.1"
"Asian/Asian British: Bangladeshi","417","£100 to £199","24.5"
"Asian/Asian British: Other","651","£100 to £199","25.8"
"Black, African, Caribbean or Black British: Caribbean","1,383","£100 to £199","26"
"Black, African, Caribbean or Black British: African","1,700","£100 to £199","20.6"
"Black, African, Caribbean or Black British: Other","461","£100 to £199","26.4"
"Asian/Asian British: Chinese","108","£100 to £199","33.2"
"Other Ethnic group: Other","670","£100 to £199","25.7"
"White: Gypsy, Irish Traveller","58","£100 to £199","28.8"
"Other Ethnic group: Arab","240","£100 to £199","22.8"
"Asian","2,001","£200 to £299","21.3"
"Black","2,872","£200 to £299","18.7"
"Mixed","1,254","£200 to £299","19.9"
"Other","635","£200 to £299","17.4"
"White","37,043","£200 to £299","22.6"
"White: English, Scottish, Welsh, Northern Irish, British","34,658","£200 to £299","22.5"
"White: Irish","224","£200 to £299","20.1"
"White: Other","2,116","£200 to £299","24.4"
"Mixed: White & Black Caribbean","569","£200 to £299","18.5"
"Mixed: White & Black African","199","£200 to £299","19.3"
"Mixed: White & Asian","150","£200 to £299","18.9"
"Mixed: Other","336","£200 to £299","23.9"
"Asian/Asian British: Indian","326","£200 to £299","20"
"Asian/Asian British: Pakistani","682","£200 to £299","21.3"
"Asian/Asian British: Bangladeshi","390","£200 to £299","22.9"
"Asian/Asian British: Other","511","£200 to £299","20.2"
"Black, African, Caribbean or Black British: Caribbean","988","£200 to £299","18.6"
"Black, African, Caribbean or Black British: African","1,544","£200 to £299","18.7"
"Black, African, Caribbean or Black British: Other","340","£200 to £299","19.4"
"Asian/Asian British: Chinese","92","£200 to £299","28.3"
"Other Ethnic group: Other","464","£200 to £299","17.8"
"White: Gypsy, Irish Traveller","45","£200 to £299","22.7"
"Other Ethnic group: Arab","171","£200 to £299","16.2"
"Asian","1,354","£300 to £399","14.4"
"Black","2,159","£300 to £399","14.1"
"Mixed","738","£300 to £399","11.7"
"Other","401","£300 to £399","11"
"White","22,172","£300 to £399","13.5"
"White: English, Scottish, Welsh, Northern Irish, British","20,238","£300 to £399","13.2"
"White: Irish","121","£300 to £399","10.9"
"White: Other","1,792","£300 to £399","20.7"
"Mixed: White & Black Caribbean","317","£300 to £399","10.3"
"Mixed: White & Black African","143","£300 to £399","13.8"
"Mixed: White & Asian","72","£300 to £399","9"
"Mixed: Other","206","£300 to £399","14.7"
"Asian/Asian British: Indian","226","£300 to £399","13.8"
"Asian/Asian British: Pakistani","487","£300 to £399","15.2"
"Asian/Asian British: Bangladeshi","313","£300 to £399","18.4"
"Asian/Asian British: Other","293","£300 to £399","11.6"
"Black, African, Caribbean or Black British: Caribbean","641","£300 to £399","12.1"
"Black, African, Caribbean or Black British: African","1,266","£300 to £399","15.3"
"Black, African, Caribbean or Black British: Other","252","£300 to £399","14.4"
"Asian/Asian British: Chinese","35","£300 to £399","10.7"
"Other Ethnic group: Other","299","£300 to £399","11.5"
"White: Gypsy, Irish Traveller","21","£300 to £399","10.4"
"Other Ethnic group: Arab","102","£300 to £399","9.7"
"Asian","775","£400 to £499","8.3"
"Black","1,214","£400 to £499","7.9"
"Mixed","379","£400 to £499","6"
"Other","251","£400 to £499","6.9"
"White","11,925","£400 to £499","7.3"
"White: English, Scottish, Welsh, Northern Irish, British","10,669","£400 to £499","6.9"
"White: Irish","57","£400 to £499","5.1"
"White: Other","1,184","£400 to £499","13.7"
"Mixed: White & Black Caribbean","150","£400 to £499","4.9"
"Mixed: White & Black African","73","£400 to £499","7"
"Mixed: White & Asian","56","£400 to £499","7.1"
"Mixed: Other","100","£400 to £499","7.1"
"Asian/Asian British: Indian","129","£400 to £499","7.9"
"Asian/Asian British: Pakistani","284","£400 to £499","8.8"
"Asian/Asian British: Bangladeshi","178","£400 to £499","10.5"
"Asian/Asian British: Other","157","£400 to £499","6.2"
"Black, African, Caribbean or Black British: Caribbean","302","£400 to £499","5.7"
"Black, African, Caribbean or Black British: African","776","£400 to £499","9.4"
"Black, African, Caribbean or Black British: Other","136","£400 to £499","7.8"
"Asian/Asian British: Chinese","27","£400 to £499","8.2"
"Other Ethnic group: Other","184","£400 to £499","7.1"
"White: Gypsy, Irish Traveller","15","£400 to £499","7.7"
"Other Ethnic group: Arab","67","£400 to £499","6.3"
"Asian","370","£500 to £599","3.9"
"Black","592","£500 to £599","3.9"
"Mixed","190","£500 to £599","3"
"Other","125","£500 to £599","3.4"
"White","6,868","£500 to £599","4.2"
"White: English, Scottish, Welsh, Northern Irish, British","5,972","£500 to £599","3.9"
"White: Irish","26","£500 to £599","2.4"
"White: Other","866","£500 to £599","10"
"Mixed: White & Black Caribbean","65","£500 to £599","2.1"
"Mixed: White & Black African","41","£500 to £599","3.9"
"Mixed: White & Asian","21","£500 to £599","2.7"
"Mixed: Other","63","£500 to £599","4.5"
"Asian/Asian British: Indian","48","£500 to £599","2.9"
"Asian/Asian British: Pakistani","122","£500 to £599","3.8"
"Asian/Asian British: Bangladeshi","83","£500 to £599","4.9"
"Asian/Asian British: Other","109","£500 to £599","4.3"
"Black, African, Caribbean or Black British: Caribbean","153","£500 to £599","2.9"
"Black, African, Caribbean or Black British: African","382","£500 to £599","4.6"
"Black, African, Caribbean or Black British: Other","57","£500 to £599","3.3"
"Asian/Asian British: Chinese","8","£500 to £599","2.5"
"Other Ethnic group: Other","92","£500 to £599","3.5"
"White: Gypsy, Irish Traveller","4","£500 to £599","2"
"Other Ethnic group: Arab","33","£500 to £599","3.1"
"Asian","243","£600 and above","2.6"
"Black","519","£600 and above","3.4"
"Mixed","149","£600 and above","2.4"
