"Standard Ethnicity","Local authority","%"
"All","Barking and Dagenham","63"
"All","Barnet","69"
"All","Barnsley","59"
"All","Bath and North East Somerset","63"
"All","Bedford","53"
"All","Bexley","65"
"All","Birmingham","57"
"All","Blackburn with Darwen","60"
"All","Blackpool","62"
"All","Bolton","61"
"All","Bournemouth","63"
"All","Bracknell Forest","57"
"All","Bradford","57"
"All","Brent","61"
"All","Brighton and Hove","64"
"All","Bristol, City of","61"
"All","Bromley","76"
"All","Buckinghamshire","64"
"All","Bury","63"
"All","Calderdale","58"
"All","Cambridgeshire","59"
"All","Camden","67"
"All","Central Bedfordshire","58"
"All","Cheshire East","64"
"All","Cheshire West and Chester","59"
"All","City of London","88"
"All","Cornwall","59"
"All","County Durham","65"
"All","Coventry","58"
"All","Croydon","64"
"All","Cumbria","61"
"All","Darlington","61"
"All","Derby","55"
"All","Derbyshire","60"
"All","Devon","62"
"All","Doncaster","54"
"All","Dorset","57"
"All","Dudley","55"
"All","Ealing","65"
"All","East Riding of Yorkshire","61"
"All","East Sussex","57"
"All","Enfield","61"
"All","Essex","63"
"All","Gateshead","68"
"All","Gloucestershire","62"
"All","Greenwich","71"
"All","Hackney","72"
"All","Halton","56"
"All","Hammersmith and Fulham","74"
"All","Hampshire","66"
"All","Haringey","65"
"All","Harrow","70"
"All","Hartlepool","65"
"All","Havering","72"
"All","Herefordshire, County of","60"
"All","Hertfordshire","65"
"All","Hillingdon","64"
"All","Hounslow","66"
"All","Isle of Wight","55"
"All","Isles of Scilly","35"
"All","Islington","66"
"All","Kensington and Chelsea","76"
"All","Kent","65"
"All","Kingston upon Hull, City of","63"
"All","Kingston upon Thames","65"
"All","Kirklees","57"
"All","Knowsley","58"
"All","Lambeth","70"
"All","Lancashire","61"
"All","Leeds","56"
"All","Leicester","58"
"All","Leicestershire","62"
"All","Lewisham","62"
"All","Lincolnshire","57"
"All","Liverpool","58"
"All","Luton","55"
"All","Manchester","60"
"All","Medway","58"
"All","Merton","66"
"All","Middlesbrough","61"
"All","Milton Keynes","63"
"All","Newcastle upon Tyne","63"
"All","Newham","70"
"All","Norfolk","57"
"All","North East Lincolnshire","59"
"All","North Lincolnshire","59"
"All","North Somerset","59"
"All","North Tyneside","66"
"All","North Yorkshire","59"
"All","Northamptonshire","57"
"All","Northumberland","61"
"All","Nottingham","59"
"All","Nottinghamshire","62"
"All","Oldham","57"
"All","Oxfordshire","61"
"All","Peterborough","52"
"All","Plymouth","60"
"All","Poole","59"
"All","Portsmouth","57"
"All","Reading","59"
"All","Redbridge","67"
"All","Redcar and Cleveland","69"
"All","Richmond upon Thames","76"
"All","Rochdale","56"
"All","Rotherham","61"
"All","Rutland","67"
"All","Salford","61"
"All","Sandwell","58"
"All","Sefton","64"
"All","Sheffield","60"
"All","Shropshire","62"
"All","Slough","63"
"All","Solihull","65"
"All","Somerset","59"
"All","South Gloucestershire","60"
"All","South Tyneside","65"
"All","Southampton","62"
"All","Southend-on-Sea","66"
"All","Southwark","64"
"All","St. Helens","58"
"All","Staffordshire","63"
"All","Stockport","64"
"All","Stockton-on-Tees","64"
"All","Stoke-on-Trent","56"
"All","Suffolk","57"
"All","Sunderland","68"
"All","Surrey","67"
"All","Sutton","72"
"All","Swindon","62"
"All","Tameside","60"
"All","Telford and Wrekin","61"
"All","Thurrock","62"
"All","Torbay","60"
"All","Tower Hamlets","68"
"All","Trafford","72"
"All","Wakefield","57"
"All","Walsall","53"
"All","Waltham Forest","68"
"All","Wandsworth","69"
"All","Warrington","70"
"All","Warwickshire","62"
"All","West Berkshire","62"
"All","West Sussex","55"
"All","Westminster","68"
"All","Wigan","66"
"All","Wiltshire","59"
"All","Windsor and Maidenhead","66"
"All","Wirral","57"
