"Title","Reading, writing and maths attainments for children aged 7 to 11 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/01/2017 (revised)"

"","Local Authority","%"
"All","Barking and Dagenham","58"
"All","Barnet","59"
"All","Barnsley","53"
"All","Bath and North East Somerset","54"
"All","Bedford","42"
"All","Bexley","59"
"All","Birmingham","47"
"All","Blackburn with Darwen","51"
"All","Blackpool","48"
"All","Bolton","56"
"All","Bournemouth","54"
"All","Bracknell Forest","52"
"All","Bradford","47"
"All","Brent","55"
"All","Brighton and Hove","58"
"All","Bristol, City of","54"
"All","Bromley","67"
"All","Buckinghamshire","57"
"All","Bury","55"
"All","Calderdale","47"
"All","Cambridgeshire","53"
"All","Camden","61"
"All","Central Bedfordshire","51"
"All","Cheshire East","52"
"All","Cheshire West and Chester","53"
"All","City of London","89"
"All","Cornwall","51"
"All","County Durham","59"
"All","Coventry","49"
"All","Croydon","55"
"All","Cumbria","51"
"All","Darlington","56"
"All","Derby","48"
"All","Derbyshire","53"
"All","Devon","54"
"All","Doncaster","46"
"All","Dorset","45"
"All","Dudley","49"
"All","Ealing","54"
"All","East Riding of Yorkshire","53"
"All","East Sussex","52"
"All","Enfield","52"
"All","Essex","56"
"All","Gateshead","61"
"All","Gloucestershire","54"
"All","Greenwich","64"
"All","Hackney","64"
"All","Halton","47"
"All","Hammersmith and Fulham","61"
"All","Hampshire","59"
"All","Haringey","56"
"All","Harrow","62"
"All","Hartlepool","53"
"All","Havering","63"
"All","Herefordshire, County of","52"
"All","Hertfordshire","59"
"All","Hillingdon","57"
"All","Hounslow","59"
"All","Isle of Wight","49"
"All","Isles of Scilly","55"
"All","Islington","57"
"All","Kensington and Chelsea","70"
"All","Kent","59"
"All","Kingston upon Hull, City of","53"
"All","Kingston upon Thames","60"
"All","Kirklees","49"
"All","Knowsley","48"
"All","Lambeth","62"
"All","Lancashire","54"
"All","Leeds","48"
