"Title","Average number of reoffences per offender, by ethnicity"
"Location","England and Wales"
"Time period","2004 to 2014"
"Data source","NOMS Offender Equalities Statistics Bulletin - supplementary table 15.2 https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Year","Age Group","Age Range","Region","Ethnic Group","Average number of reoffences per reoffender","Number of reoffenders","Number of reoffences"
"2004","All","All","England and Wales","Asian","3","6484","19613"
"2004","All","All","England and Wales","Black","3.1","14807","46320"
"2004","All","All","England and Wales","Not Recorded","2.5","1717","4323"
"2004","All","All","England and Wales","Other","2.9","1272","3738"
"2004","All","All","England and Wales","White","3.2","155777","504368"
"2005","All","All","England and Wales","Asian","2.9","7174","20471"
"2005","All","All","England and Wales","Black","3","15854","46977"
"2005","All","All","England and Wales","Not Recorded","2.5","1965","4878"
"2005","All","All","England and Wales","Other","2.8","1447","4089"
"2005","All","All","England and Wales","White","3.1","160235","492000"
"2006","All","All","England and Wales","Asian","2.7","7757","21136"
"2006","All","All","England and Wales","Black","2.9","17028","48957"
"2006","All","All","England and Wales","Not Recorded","2.3","2192","5107"
"2006","All","All","England and Wales","Other","2.6","1494","3942"
"2006","All","All","England and Wales","White","3","167371","494135"
"2007","All","All","England and Wales","Asian","2.7","8041","21527"
"2007","All","All","England and Wales","Black","2.8","17792","50665"
"2007","All","All","England and Wales","Not Recorded","2.5","1989","4898"
"2007","All","All","England and Wales","Other","2.7","1513","4098"
"2007","All","All","England and Wales","White","2.9","171164","498599"
"2008","All","All","England and Wales","Asian","2.7","8166","21785"
"2008","All","All","England and Wales","Black","2.8","17812","49246"
"2008","All","All","England and Wales","Not Recorded","2.6","1684","4312"
"2008","All","All","England and Wales","Other","2.5","1498","3743"
"2008","All","All","England and Wales","White","2.9","166095","485304"
"2009","All","All","England and Wales","Asian","2.6","7865","20293"
"2009","All","All","England and Wales","Black","2.6","16900","44672"
"2009","All","All","England and Wales","Not Recorded","2.4","1433","3479"
"2009","All","All","England and Wales","Other","2.4","1518","3710"
"2009","All","All","England and Wales","White","2.8","153530","434010"
"2010","All","All","England and Wales","Asian","2.7","7470","19817"
"2010","All","All","England and Wales","Black","2.7","16219","43954"
"2010","All","All","England and Wales","Not Recorded","2.5","1389","3504"
"2010","All","All","England and Wales","Other","2.7","1479","3931"
"2010","All","All","England and Wales","White","2.9","144286","420380"
"2011","All","All","England and Wales","Asian","2.6","6985","18250"
"2011","All","All","England and Wales","Black","2.7","15395","41769"
"2011","All","All","England and Wales","Not Recorded","2.5","1359","3354"
"2011","All","All","England and Wales","Other","2.6","1349","3492"
"2011","All","All","England and Wales","White","3","136894","405081"
"2012","All","All","England and Wales","Asian","2.7","6247","16615"
"2012","All","All","England and Wales","Black","2.8","13914","38448"
"2012","All","All","England and Wales","Not Recorded","2.5","1233","3037"
"2012","All","All","England and Wales","Other","2.7","1231","3271"
"2012","All","All","England and Wales","White","3","121584","366827"
"2013","All","All","England and Wales","Asian","2.8","5971","16469"
"2013","All","All","England and Wales","Black","2.8","13200","37488"
"2013","All","All","England and Wales","Not Recorded","2.6","1198","3079"
"2013","All","All","England and Wales","Other","2.6","1221","3219"
"2013","All","All","England and Wales","White","3.2","114413","361191"
"2014","All","All","England and Wales","Asian","2.8","5539","15679"
"2014","All","All","England and Wales","Black","3","12391","36902"
"2014","All","All","England and Wales","Not Recorded","2.7","1156","3094"
"2014","All","All","England and Wales","Other","2.7","1090","2913"
"2014","All","All","England and Wales","White","3.3","104489","340577"
