"","Bail","","Custody","","Not remanded",""
"","%","Number","%","Number","%","Number"
"Asian","50.1","2,839","36.2","2,054","13.7","779"
"Black","42.3","3,559","42.6","3,586","15.0","1,265"
"Mixed","41.0","883","43.5","937","15.5","334"
"White","44.1","23,130","35.8","18,780","20.1","10,569"
"Other inc Chinese","44.7","514","40.4","465","14.9","172"
