"Title","Remand status at Crown Court by ethnicity and age group"
"Location","England and Wales"
"Time period","2012 to 2016"
"Data source","Criminal Justice Statistics"
"Data source link","https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-september-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2014"

"","Not remanded","","","Bail","","","Custody","",""
"Year","Ethnicity","Age group","%","Ethnicity","Age group","%","Ethnicity","Age group","%"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
