"Standard Ethnicity","Local authority","Boys","Girls"
"All","Barking and Dagenham","80","84"
"All","Barnet","82","84"
"All","Barnsley","77","83"
"All","Bath and North East Somerset","82","84"
"All","Bedford","79","83"
"All","Bexley","84","87"
"All","Birmingham","71","77"
"All","Blackburn with Darwen","80","84"
"All","Blackpool","82","86"
"All","Bolton","77","82"
"All","Bournemouth","81","87"
"All","Bracknell Forest","86","86"
"All","Bradford","73","79"
"All","Brent","77","82"
"All","Brighton and Hove","84","87"
"All","Bristol, City of","77","83"
"All","Bromley","85","89"
"All","Buckinghamshire","80","84"
"All","Bury","77","84"
"All","Calderdale","72","77"
"All","Cambridgeshire","80","84"
"All","Camden","81","84"
"All","Central Bedfordshire","83","87"
"All","Cheshire East","80","84"
"All","Cheshire West and Chester","80","85"
"All","City of London","!","!"
"All","Cornwall","83","87"
"All","County Durham","81","86"
"All","Coventry","74","80"
"All","Croydon","80","86"
"All","Cumbria","81","86"
"All","Darlington","83","85"
"All","Derby","72","79"
"All","Derbyshire","84","88"
"All","Devon","80","84"
"All","Doncaster","76","81"
"All","Dorset","80","83"
"All","Dudley","77","85"
"All","Ealing","76","82"
"All","East Riding of Yorkshire","82","88"
"All","East Sussex","82","86"
"All","Enfield","74","80"
"All","Essex","80","85"
"All","Gateshead","81","86"
"All","Gloucestershire","81","83"
"All","Greenwich","84","89"
"All","Hackney","82","89"
"All","Halton","76","80"
"All","Hammersmith and Fulham","81","86"
"All","Hampshire","86","90"
"All","Haringey","81","86"
"All","Harrow","81","89"
"All","Hartlepool","76","84"
"All","Havering","84","89"
"All","Herefordshire, County of","84","85"
"All","Hertfordshire","83","87"
"All","Hillingdon","78","84"
"All","Hounslow","84","88"
"All","Isle of Wight","80","83"
"All","Isles of Scilly","!","!"
"All","Islington","78","82"
"All","Kensington and Chelsea","86","89"
"All","Kent","84","88"
"All","Kingston upon Hull, City of","75","80"
"All","Kingston upon Thames","84","87"
"All","Kirklees","77","82"
"All","Knowsley","74","81"
"All","Lambeth","81","86"
"All","Lancashire","79","84"
"All","Leeds","72","76"
"All","Leicester","72","77"
"All","Leicestershire","83","86"
"All","Lewisham","82","86"
"All","Lincolnshire","79","84"
"All","Liverpool","68","75"
"All","Luton","74","80"
"All","Manchester","73","80"
"All","Medway","80","84"
"All","Merton","83","88"
"All","Middlesbrough","72","78"
"All","Milton Keynes","79","85"
"All","Newcastle upon Tyne","78","84"
"All","Newham","79","86"
"All","Norfolk","83","87"
"All","North East Lincolnshire","75","83"
"All","North Lincolnshire","84","90"
"All","North Somerset","84","86"
"All","North Tyneside","80","85"
"All","North Yorkshire","82","86"
"All","Northamptonshire","78","84"
"All","Northumberland","84","90"
"All","Nottingham","72","79"
"All","Nottinghamshire","79","84"
"All","Oldham","69","75"
"All","Oxfordshire","82","85"
"All","Peterborough","71","78"
"All","Plymouth","77","80"
"All","Poole","84","88"
"All","Portsmouth","79","84"
