"Ethnicity","Expected standard"
"All","82"
"Asian","80"
"Bangladeshi","79"
"Indian","86"
"Pakistani","75"
"Asian other","82"
"Black","80"
"Black African","81"
"Black Caribbean","78"
"Black other","78"
"Chinese","86"
"Mixed","83"
"Mixed White/Asian","86"
"Mixed White/Black African","83"
"Mixed White/Black Caribbean","79"
"Mixed other","83"
"White","83"
"White British","84"
"White Irish","86"
"White Irish Traveller","47"
"White Gypsy/Roma","39"
"White other","76"
"Other","75"
