"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local authority","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls"
"Peterborough","71","78","71","78","76","87","!","!","72","80","71","77"
"Plymouth","77","80","!","!","!","!","!","!","78","73","77","81"
"Poole","84","88","77","86","!","!","100","!","78","91","84","88"
"Portsmouth","79","84","79","82","81","83","100","100","75","84","80","85"
"Reading","73","80","73","83","74","78","100","!","73","79","73","81"
"Redbridge","78","83","83","87","74","78","!","!","80","82","72","81"
"Redcar and Cleveland","78","86","!","!","!","!","!","!","!","!","79","86"
"Richmond upon Thames","87","91","80","86","88","86","!","100","85","92","89","92"
"Rochdale","76","82","76","79","70","66","!","!","86","77","76","85"
"Rotherham","76","83","73","83","67","70","100","!","74","89","77","83"
"Rutland","85","87","100","100","!","!","!","!","100","!","85","87"
"Salford","79","84","80","85","76","85","!","100","78","89","81","85"
"Sandwell","71","78","71","80","68","78","!","!","70","80","72","77"
"Sefton","79","84","!","!","!","!","100","!","79","84","79","84"
"Sheffield","76","82","71","77","74","80","!","!","73","78","77","84"
"Shropshire","82","86","!","!","!","!","!","!","!","!","82","86"
"Slough","78","85","83","89","74","88","!","!","76","90","74","78"
"Solihull","80","87","74","82","79","79","100","!","80","91","81","87"
"Somerset","84","88","66","90","!","!","!","!","82","92","85","88"
"South Gloucestershire","85","88","83","89","70","86","100","!","83","89","85","88"
"South Tyneside","78","85","86","83","!","!","!","!","70","60","79","87"
"Southampton","78","84","77","88","80","83","!","!","80","84","78","83"
"Southend-on-Sea","79","86","78","92","80","79","!","!","71","88","80","86"
"Southwark","80","84","83","82","78","85","85","84","78","85","85","85"
"St. Helens","74","80","!","!","!","!","100","!","64","83","75","80"
"Staffordshire","82","87","77","84","69","85","!","!","81","91","83","87"
"Stockport","83","85","84","81","!","!","!","!","79","91","83","85"
"Stockton-on-Tees","84","89","79","96","!","!","100","!","82","83","84","90"
"Stoke-on-Trent","73","81","70","83","74","91","!","!","75","86","74","80"
"Suffolk","79","83","88","79","72","77","!","!","79","79","79","83"
"Sunderland","81","87","74","83","!","100","!","!","!","!","81","88"
"Surrey","85","88","83","86","80","89","!","!","81","91","85","89"
"Sutton","77","84","79","87","76","79","!","!","89","87","76","84"
"Swindon","75","80","76","81","!","!","!","!","69","83","76","80"
"Tameside","80","84","75","79","80","77","!","!","79","86","80","85"
"Telford and Wrekin","80","86","74","80","85","92","!","!","89","84","81","86"
"Thurrock","77","81","77","92","80","89","!","!","81","85","76","78"
"Torbay","79","84","!","!","!","!","!","!","!","!","79","83"
"Tower Hamlets","76","83","76","83","79","83","!","!","74","89","77","81"
"Trafford","83","88","80","89","80","88","!","!","81","83","84","89"
"Wakefield","76","84","62","77","77","83","100","!","76","84","77","84"
"Walsall","75","81","78","83","78","82","!","100","70","86","76","82"
"Waltham Forest","84","89","84","90","82","90","!","!","87","90","84","88"
