"Title","Science attainment for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","Local authority",""
"All","Barking and Dagenham","82"
"All","Barnet","83"
"All","Barnsley","80"
"All","Bath and North East Somerset","83"
"All","Bedford","81"
"All","Bexley","86"
"All","Birmingham","74"
"All","Blackburn with Darwen","82"
"All","Blackpool","84"
"All","Bolton","79"
"All","Bournemouth","84"
"All","Bracknell Forest","86"
"All","Bradford","76"
"All","Brent","80"
"All","Brighton and Hove","85"
"All","Bristol, City of","80"
"All","Bromley","87"
"All","Buckinghamshire","82"
"All","Bury","81"
"All","Calderdale","75"
"All","Cambridgeshire","82"
"All","Camden","82"
"All","Central Bedfordshire","85"
"All","Cheshire East","82"
"All","Cheshire West and Chester","82"
"All","City of London","!"
"All","Cornwall","85"
"All","County Durham","84"
"All","Coventry","77"
"All","Croydon","83"
"All","Cumbria","83"
"All","Darlington","84"
"All","Derby","75"
"All","Derbyshire","86"
"All","Devon","82"
"All","Doncaster","78"
"All","Dorset","81"
"All","Dudley","81"
"All","Ealing","79"
"All","East Riding of Yorkshire","85"
"All","East Sussex","84"
"All","Enfield","77"
"All","Essex","83"
"All","Gateshead","83"
"All","Gloucestershire","82"
"All","Greenwich","86"
"All","Hackney","85"
"All","Halton","78"
"All","Hammersmith and Fulham","83"
"All","Hampshire","88"
"All","Haringey","83"
"All","Harrow","85"
"All","Hartlepool","80"
"All","Havering","86"
"All","Herefordshire, County of","85"
"All","Hertfordshire","85"
"All","Hillingdon","81"
"All","Hounslow","86"
"All","Isle of Wight","81"
"All","Isles of Scilly","!"
"All","Islington","80"
"All","Kensington and Chelsea","88"
"All","Kent","86"
"All","Kingston upon Hull, City of","77"
"All","Kingston upon Thames","85"
"All","Kirklees","79"
"All","Knowsley","77"
"All","Lambeth","84"
"All","Lancashire","82"
"All","Leeds","74"
"All","Leicester","74"
"All","Leicestershire","85"
"All","Lewisham","84"
"All","Lincolnshire","81"
"All","Liverpool","71"
"All","Luton","77"
"All","Manchester","77"
"All","Medway","82"
"All","Merton","85"
"All","Middlesbrough","75"
"All","Milton Keynes","82"
"All","Newcastle upon Tyne","81"
"All","Newham","82"
"All","Norfolk","85"
"All","North East Lincolnshire","79"
"All","North Lincolnshire","87"
"All","North Somerset","85"
"All","North Tyneside","83"
"All","North Yorkshire","84"
"All","Northamptonshire","81"
"All","Northumberland","87"
"All","Nottingham","75"
"All","Nottinghamshire","81"
"All","Oldham","72"
"All","Oxfordshire","83"
"All","Peterborough","74"
"All","Plymouth","79"
"All","Poole","86"
"All","Portsmouth","82"
"All","Reading","76"
"All","Redbridge","80"
"All","Redcar and Cleveland","82"
"All","Richmond upon Thames","89"
"All","Rochdale","79"
"All","Rotherham","79"
"All","Rutland","86"
"All","Salford","81"
"All","Sandwell","74"
"All","Sefton","81"
"All","Sheffield","79"
"All","Shropshire","84"
"All","Slough","81"
"All","Solihull","83"
"All","Somerset","86"
"All","South Gloucestershire","86"
"All","South Tyneside","82"
"All","Southampton","81"
"All","Southend-on-Sea","82"
"All","Southwark","82"
"All","St. Helens","77"
"All","Staffordshire","84"
"All","Stockport","84"
"All","Stockton-on-Tees","87"
"All","Stoke-on-Trent","77"
"All","Suffolk","81"
"All","Sunderland","84"
"All","Surrey","86"
"All","Sutton","81"
"All","Swindon","78"
"All","Tameside","82"
"All","Telford and Wrekin","83"
"All","Thurrock","79"
"All","Torbay","81"
"All","Tower Hamlets","80"
"All","Trafford","86"
"All","Wakefield","80"
"All","Walsall","78"
"All","Waltham Forest","86"
"All","Wandsworth","85"
"All","Warrington","86"
"All","Warwickshire","84"
"All","West Berkshire","85"
"All","West Sussex","78"
"All","Westminster","80"
"All","Wigan","81"
"All","Wiltshire","83"
"All","Windsor and Maidenhead","88"
"All","Wirral","81"
"All","Wokingham","90"
"All","Wolverhampton","75"
"All","Worcestershire","84"
"All","York","83"
"Asian","Barking and Dagenham","84"
"Asian","Barnet","86"
"Asian","Barnsley","82"
"Asian","Bath and North East Somerset","79"
"Asian","Bedford","74"
"Asian","Bexley","92"
"Asian","Birmingham","74"
"Asian","Blackburn with Darwen","81"
"Asian","Blackpool","77"
"Asian","Bolton","81"
"Asian","Bournemouth","77"
"Asian","Bracknell Forest","94"
"Asian","Bradford","75"
"Asian","Brent","82"
"Asian","Brighton and Hove","81"
"Asian","Bristol, City of","76"
"Asian","Bromley","91"
"Asian","Buckinghamshire","74"
"Asian","Bury","78"
"Asian","Calderdale","58"
"Asian","Cambridgeshire","77"
"Asian","Camden","77"
"Asian","Central Bedfordshire","92"
"Asian","Cheshire East","76"
"Asian","Cheshire West and Chester","75"
"Asian","City of London","!"
"Asian","Cornwall","!"
"Asian","County Durham","92"
"Asian","Coventry","82"
"Asian","Croydon","87"
"Asian","Cumbria","87"
"Asian","Darlington","71"
"Asian","Derby","80"
"Asian","Derbyshire","88"
"Asian","Devon","77"
"Asian","Doncaster","78"
"Asian","Dorset","81"
"Asian","Dudley","76"
"Asian","Ealing","78"
"Asian","East Riding of Yorkshire","85"
"Asian","East Sussex","89"
"Asian","Enfield","86"
"Asian","Essex","81"
"Asian","Gateshead","74"
"Asian","Gloucestershire","86"
"Asian","Greenwich","90"
"Asian","Hackney","88"
"Asian","Halton","100"
"Asian","Hammersmith and Fulham","88"
"Asian","Hampshire","85"
"Asian","Haringey","87"
"Asian","Harrow","90"
"Asian","Hartlepool","75"
"Asian","Havering","89"
"Asian","Herefordshire, County of","70"
"Asian","Hertfordshire","84"
"Asian","Hillingdon","84"
"Asian","Hounslow","90"
"Asian","Isle of Wight","!"
"Asian","Isles of Scilly","!"
"Asian","Islington","75"
"Asian","Kensington and Chelsea","89"
"Asian","Kent","88"
"Asian","Kingston upon Hull, City of","89"
"Asian","Kingston upon Thames","81"
"Asian","Kirklees","75"
"Asian","Knowsley","100"
"Asian","Lambeth","85"
"Asian","Lancashire","79"
"Asian","Leeds","73"
"Asian","Leicester","81"
"Asian","Leicestershire","86"
"Asian","Lewisham","84"
"Asian","Lincolnshire","93"
"Asian","Liverpool","71"
"Asian","Luton","77"
"Asian","Manchester","74"
"Asian","Medway","84"
"Asian","Merton","87"
"Asian","Middlesbrough","72"
"Asian","Milton Keynes","81"
"Asian","Newcastle upon Tyne","78"
"Asian","Newham","86"
"Asian","Norfolk","90"
"Asian","North East Lincolnshire","!"
"Asian","North Lincolnshire","90"
"Asian","North Somerset","90"
"Asian","North Tyneside","87"
"Asian","North Yorkshire","80"
"Asian","Northamptonshire","81"
"Asian","Northumberland","88"
"Asian","Nottingham","79"
"Asian","Nottinghamshire","76"
"Asian","Oldham","66"
"Asian","Oxfordshire","75"
"Asian","Peterborough","74"
"Asian","Plymouth","88"
"Asian","Poole","81"
"Asian","Portsmouth","81"
"Asian","Reading","78"
"Asian","Redbridge","85"
"Asian","Redcar and Cleveland","67"
"Asian","Richmond upon Thames","83"
"Asian","Rochdale","77"
"Asian","Rotherham","78"
"Asian","Rutland","100"
"Asian","Salford","82"
"Asian","Sandwell","75"
"Asian","Sefton","84"
"Asian","Sheffield","74"
"Asian","Shropshire","88"
"Asian","Slough","86"
"Asian","Solihull","78"
"Asian","Somerset","77"
"Asian","South Gloucestershire","87"
"Asian","South Tyneside","84"
"Asian","Southampton","83"
"Asian","Southend-on-Sea","85"
"Asian","Southwark","82"
"Asian","St. Helens","67"
"Asian","Staffordshire","80"
"Asian","Stockport","82"
"Asian","Stockton-on-Tees","88"
"Asian","Stoke-on-Trent","77"
"Asian","Suffolk","84"
"Asian","Sunderland","79"
"Asian","Surrey","84"
"Asian","Sutton","83"
"Asian","Swindon","78"
"Asian","Tameside","77"
"Asian","Telford and Wrekin","77"
"Asian","Thurrock","84"
"Asian","Torbay","76"
"Asian","Tower Hamlets","80"
"Asian","Trafford","85"
"Asian","Wakefield","70"
"Asian","Walsall","81"
"Asian","Waltham Forest","87"
"Asian","Wandsworth","86"
"Asian","Warrington","84"
"Asian","Warwickshire","85"
"Asian","West Berkshire","84"
"Asian","West Sussex","78"
"Asian","Westminster","84"
"Asian","Wigan","72"
"Asian","Wiltshire","88"
"Asian","Windsor and Maidenhead","87"
"Asian","Wirral","87"
"Asian","Wokingham","90"
"Asian","Wolverhampton","77"
"Asian","Worcestershire","73"
"Asian","York","74"
"Black","Barking and Dagenham","86"
"Black","Barnet","78"
"Black","Barnsley","90"
"Black","Bath and North East Somerset","!"
"Black","Bedford","82"
"Black","Bexley","90"
"Black","Birmingham","74"
"Black","Blackburn with Darwen","70"
"Black","Blackpool","!"
"Black","Bolton","69"
"Black","Bournemouth","79"
"Black","Bracknell Forest","88"
"Black","Bradford","72"
"Black","Brent","80"
"Black","Brighton and Hove","81"
"Black","Bristol, City of","71"
"Black","Bromley","87"
"Black","Buckinghamshire","75"
"Black","Bury","72"
"Black","Calderdale","!"
"Black","Cambridgeshire","74"
"Black","Camden","78"
"Black","Central Bedfordshire","80"
"Black","Cheshire East","73"
"Black","Cheshire West and Chester","77"
"Black","City of London","!"
"Black","Cornwall","!"
"Black","County Durham","75"
"Black","Coventry","76"
"Black","Croydon","81"
"Black","Cumbria","100"
"Black","Darlington","!"
"Black","Derby","81"
"Black","Derbyshire","74"
"Black","Devon","57"
"Black","Doncaster","71"
"Black","Dorset","100"
"Black","Dudley","80"
"Black","Ealing","75"
"Black","East Riding of Yorkshire","100"
"Black","East Sussex","78"
"Black","Enfield","76"
"Black","Essex","80"
"Black","Gateshead","81"
"Black","Gloucestershire","79"
"Black","Greenwich","88"
"Black","Hackney","83"
"Black","Halton","!"
"Black","Hammersmith and Fulham","78"
"Black","Hampshire","84"
"Black","Haringey","82"
"Black","Harrow","81"
"Black","Hartlepool","!"
"Black","Havering","84"
"Black","Herefordshire, County of","100"
"Black","Hertfordshire","83"
"Black","Hillingdon","78"
"Black","Hounslow","83"
"Black","Isle of Wight","!"
"Black","Isles of Scilly","!"
"Black","Islington","76"
"Black","Kensington and Chelsea","85"
"Black","Kent","85"
"Black","Kingston upon Hull, City of","65"
"Black","Kingston upon Thames","81"
"Black","Kirklees","75"
"Black","Knowsley","!"
"Black","Lambeth","80"
"Black","Lancashire","81"
"Black","Leeds","69"
"Black","Leicester","74"
"Black","Leicestershire","87"
"Black","Lewisham","80"
"Black","Lincolnshire","85"
"Black","Liverpool","71"
"Black","Luton","78"
"Black","Manchester","79"
"Black","Medway","88"
"Black","Merton","88"
"Black","Middlesbrough","81"
"Black","Milton Keynes","83"
"Black","Newcastle upon Tyne","79"
"Black","Newham","83"
"Black","Norfolk","81"
"Black","North East Lincolnshire","!"
"Black","North Lincolnshire","60"
"Black","North Somerset","!"
"Black","North Tyneside","83"
"Black","North Yorkshire","73"
"Black","Northamptonshire","75"
"Black","Northumberland","!"
"Black","Nottingham","79"
"Black","Nottinghamshire","75"
"Black","Oldham","65"
"Black","Oxfordshire","78"
"Black","Peterborough","81"
"Black","Plymouth","81"
"Black","Poole","69"
"Black","Portsmouth","82"
"Black","Reading","76"
"Black","Redbridge","76"
"Black","Redcar and Cleveland","!"
"Black","Richmond upon Thames","87"
"Black","Rochdale","68"
"Black","Rotherham","69"
"Black","Rutland","!"
"Black","Salford","80"
"Black","Sandwell","73"
"Black","Sefton","!"
"Black","Sheffield","77"
"Black","Shropshire","57"
"Black","Slough","81"
"Black","Solihull","79"
"Black","Somerset","64"
"Black","South Gloucestershire","76"
"Black","South Tyneside","75"
"Black","Southampton","82"
"Black","Southend-on-Sea","79"
"Black","Southwark","81"
"Black","St. Helens","!"
"Black","Staffordshire","76"
"Black","Stockport","82"
"Black","Stockton-on-Tees","90"
"Black","Stoke-on-Trent","83"
"Black","Suffolk","75"
"Black","Sunderland","!"
"Black","Surrey","85"
"Black","Sutton","77"
"Black","Swindon","80"
"Black","Tameside","78"
"Black","Telford and Wrekin","89"
"Black","Thurrock","84"
"Black","Torbay","!"
"Black","Tower Hamlets","81"
"Black","Trafford","83"
"Black","Wakefield","80"
"Black","Walsall","80"
"Black","Waltham Forest","86"
"Black","Wandsworth","79"
"Black","Warrington","!"
"Black","Warwickshire","75"
"Black","West Berkshire","!"
"Black","West Sussex","65"
"Black","Westminster","83"
"Black","Wigan","68"
"Black","Wiltshire","80"
"Black","Windsor and Maidenhead","83"
"Black","Wirral","56"
"Black","Wokingham","89"
"Black","Wolverhampton","79"
"Black","Worcestershire","70"
"Black","York","!"
"Chinese","Barking and Dagenham","!"
"Chinese","Barnet","88"
"Chinese","Barnsley","!"
"Chinese","Bath and North East Somerset","!"
"Chinese","Bedford","100"
"Chinese","Bexley","!"
"Chinese","Birmingham","83"
"Chinese","Blackburn with Darwen","100"
"Chinese","Blackpool","60"
"Chinese","Bolton","!"
"Chinese","Bournemouth","!"
"Chinese","Bracknell Forest","!"
"Chinese","Bradford","!"
"Chinese","Brent","100"
"Chinese","Brighton and Hove","100"
"Chinese","Bristol, City of","!"
"Chinese","Bromley","94"
"Chinese","Buckinghamshire","84"
"Chinese","Bury","100"
"Chinese","Calderdale","57"
"Chinese","Cambridgeshire","91"
"Chinese","Camden","71"
"Chinese","Central Bedfordshire","100"
"Chinese","Cheshire East","73"
"Chinese","Cheshire West and Chester","100"
"Chinese","City of London","!"
"Chinese","Cornwall","100"
"Chinese","County Durham","!"
"Chinese","Coventry","!"
"Chinese","Croydon","!"
"Chinese","Cumbria","!"
"Chinese","Darlington","!"
"Chinese","Derby","87"
"Chinese","Derbyshire","86"
"Chinese","Devon","!"
"Chinese","Doncaster","68"
"Chinese","Dorset","70"
"Chinese","Dudley","!"
"Chinese","Ealing","100"
"Chinese","East Riding of Yorkshire","100"
"Chinese","East Sussex","!"
"Chinese","Enfield","77"
"Chinese","Essex","86"
"Chinese","Gateshead","75"
"Chinese","Gloucestershire","!"
"Chinese","Greenwich","86"
"Chinese","Hackney","83"
"Chinese","Halton","!"
"Chinese","Hammersmith and Fulham","100"
"Chinese","Hampshire","88"
"Chinese","Haringey","88"
"Chinese","Harrow","100"
"Chinese","Hartlepool","!"
"Chinese","Havering","!"
"Chinese","Herefordshire, County of","!"
"Chinese","Hertfordshire","95"
"Chinese","Hillingdon","!"
"Chinese","Hounslow","!"
"Chinese","Isle of Wight","!"
"Chinese","Isles of Scilly","!"
"Chinese","Islington","70"
"Chinese","Kensington and Chelsea","!"
"Chinese","Kent","90"
"Chinese","Kingston upon Hull, City of","!"
"Chinese","Kingston upon Thames","!"
"Chinese","Kirklees","81"
"Chinese","Knowsley","100"
"Chinese","Lambeth","!"
"Chinese","Lancashire","76"
"Chinese","Leeds","75"
"Chinese","Leicester","!"
"Chinese","Leicestershire","90"
"Chinese","Lewisham","80"
"Chinese","Lincolnshire","82"
"Chinese","Liverpool","71"
"Chinese","Luton","58"
"Chinese","Manchester","92"
"Chinese","Medway","100"
"Chinese","Merton","83"
"Chinese","Middlesbrough","!"
"Chinese","Milton Keynes","74"
"Chinese","Newcastle upon Tyne","88"
"Chinese","Newham","75"
"Chinese","Norfolk","92"
"Chinese","North East Lincolnshire","100"
"Chinese","North Lincolnshire","100"
"Chinese","North Somerset","!"
"Chinese","North Tyneside","80"
"Chinese","North Yorkshire","82"
"Chinese","Northamptonshire","89"
"Chinese","Northumberland","!"
"Chinese","Nottingham","81"
"Chinese","Nottinghamshire","82"
"Chinese","Oldham","81"
"Chinese","Oxfordshire","!"
"Chinese","Peterborough","100"
"Chinese","Plymouth","73"
"Chinese","Poole","100"
"Chinese","Portsmouth","100"
"Chinese","Reading","!"
"Chinese","Redbridge","86"
"Chinese","Redcar and Cleveland","!"
"Chinese","Richmond upon Thames","!"
"Chinese","Rochdale","!"
"Chinese","Rotherham","!"
"Chinese","Rutland","!"
"Chinese","Salford","!"
"Chinese","Sandwell","55"
"Chinese","Sefton","!"
"Chinese","Sheffield","89"
"Chinese","Shropshire","100"
"Chinese","Slough","100"
"Chinese","Solihull","!"
"Chinese","Somerset","75"
"Chinese","South Gloucestershire","!"
"Chinese","South Tyneside","!"
"Chinese","Southampton","85"
"Chinese","Southend-on-Sea","82"
"Chinese","Southwark","84"
"Chinese","St. Helens","!"
"Chinese","Staffordshire","83"
"Chinese","Stockport","!"
"Chinese","Stockton-on-Tees","!"
"Chinese","Stoke-on-Trent","70"
"Chinese","Suffolk","100"
"Chinese","Sunderland","!"
"Chinese","Surrey","88"
"Chinese","Sutton","82"
"Chinese","Swindon","!"
"Chinese","Tameside","60"
"Chinese","Telford and Wrekin","100"
"Chinese","Thurrock","80"
"Chinese","Torbay","100"
"Chinese","Tower Hamlets","!"
"Chinese","Trafford","90"
"Chinese","Wakefield","!"
"Chinese","Walsall","!"
"Chinese","Waltham Forest","84"
"Chinese","Wandsworth","84"
"Chinese","Warrington","!"
"Chinese","Warwickshire","84"
"Chinese","West Berkshire","100"
"Chinese","West Sussex","85"
"Chinese","Westminster","!"
"Chinese","Wigan","!"
"Chinese","Wiltshire","79"
"Chinese","Windsor and Maidenhead","!"
"Chinese","Wirral","76"
"Chinese","Wokingham","!"
"Chinese","Wolverhampton","88"
"Chinese","Worcestershire","78"
"Chinese","York","57"
"Mixed","Barking and Dagenham","82"
"Mixed","Barnet","83"
"Mixed","Barnsley","84"
"Mixed","Bath and North East Somerset","80"
"Mixed","Bedford","83"
"Mixed","Bexley","86"
"Mixed","Birmingham","76"
"Mixed","Blackburn with Darwen","83"
"Mixed","Blackpool","86"
"Mixed","Bolton","81"
"Mixed","Bournemouth","88"
"Mixed","Bracknell Forest","91"
"Mixed","Bradford","78"
"Mixed","Brent","87"
"Mixed","Brighton and Hove","84"
"Mixed","Bristol, City of","79"
"Mixed","Bromley","89"
"Mixed","Buckinghamshire","83"
"Mixed","Bury","79"
"Mixed","Calderdale","73"
"Mixed","Cambridgeshire","83"
"Mixed","Camden","83"
"Mixed","Central Bedfordshire","79"
"Mixed","Cheshire East","86"
"Mixed","Cheshire West and Chester","89"
"Mixed","City of London","!"
"Mixed","Cornwall","86"
"Mixed","County Durham","86"
"Mixed","Coventry","79"
"Mixed","Croydon","83"
"Mixed","Cumbria","84"
"Mixed","Darlington","89"
"Mixed","Derby","80"
"Mixed","Derbyshire","88"
"Mixed","Devon","82"
"Mixed","Doncaster","83"
"Mixed","Dorset","83"
"Mixed","Dudley","83"
"Mixed","Ealing","88"
"Mixed","East Riding of Yorkshire","86"
"Mixed","East Sussex","86"
"Mixed","Enfield","83"
"Mixed","Essex","83"
"Mixed","Gateshead","79"
"Mixed","Gloucestershire","81"
"Mixed","Greenwich","87"
"Mixed","Hackney","88"
"Mixed","Halton","84"
"Mixed","Hammersmith and Fulham","82"
"Mixed","Hampshire","85"
"Mixed","Haringey","88"
"Mixed","Harrow","87"
"Mixed","Hartlepool","81"
"Mixed","Havering","89"
"Mixed","Herefordshire, County of","93"
"Mixed","Hertfordshire","88"
"Mixed","Hillingdon","82"
"Mixed","Hounslow","88"
"Mixed","Isle of Wight","83"
"Mixed","Isles of Scilly","!"
"Mixed","Islington","85"
"Mixed","Kensington and Chelsea","89"
"Mixed","Kent","88"
"Mixed","Kingston upon Hull, City of","80"
"Mixed","Kingston upon Thames","85"
"Mixed","Kirklees","77"
"Mixed","Knowsley","84"
"Mixed","Lambeth","87"
"Mixed","Lancashire","79"
"Mixed","Leeds","71"
"Mixed","Leicester","73"
"Mixed","Leicestershire","85"
"Mixed","Lewisham","87"
"Mixed","Lincolnshire","86"
"Mixed","Liverpool","76"
"Mixed","Luton","81"
"Mixed","Manchester","79"
"Mixed","Medway","87"
"Mixed","Merton","86"
"Mixed","Middlesbrough","76"
"Mixed","Milton Keynes","85"
"Mixed","Newcastle upon Tyne","85"
"Mixed","Newham","88"
"Mixed","Norfolk","87"
"Mixed","North East Lincolnshire","90"
"Mixed","North Lincolnshire","86"
"Mixed","North Somerset","88"
"Mixed","North Tyneside","84"
"Mixed","North Yorkshire","85"
