"Ethnicity","% of police officers","% of population (2011)","Number of police officers"
"Asian","2.6","6.8"," 3,104 "
"Black","1.2","3.3"," 1,432 "
"Mixed","1.8","2.2"," 2,185 "
"White","93.7","86.0"," 112,954 "
"Other","0.7","1.7","851"
"Unknown","N/A","N/A"," 2,616 "
