"Ethnicity","%","% of population (2011)","Number (Headcount) of Special Constables"
"Asian","6.2","6.8","784"
"Black","1.8","3.3","230"
"Mixed","2.1","2.2","261"
"White","88.5","86.0","11,112"
"Other","1.3","1.7","169"
"Unknown","N/A","N/A","947"
