"Standard Ethnicity","Year","% of police officers","Number of police officers "
"Asian","2007","1.5"," 2,111 "
"Asian","2008","1.6"," 2,231 "
"Asian","2009","1.7"," 2,472 "
"Asian","2010","1.8"," 2,607 "
"Asian","2011","1.9"," 2,582 "
"Asian","2012","2.0"," 2,607 "
"Asian","2013","2.0"," 2,563 "
"Asian","2014","2.1"," 2,665 "
"Asian","2015","2.2"," 2,795 "
"Asian","2016","2.4"," 2,881 "
"Asian","2017","2.6"," 3,104 "
"Black","2007","1.0"," 1,350 "
"Black","2008","1.0"," 1,371 "
"Black","2009","1.0"," 1,427 "
"Black","2010","1.0"," 1,446 "
"Black","2011","1.0"," 1,442 "
"Black","2012","1.1"," 1,420 "
"Black","2013","1.1"," 1,361 "
"Black","2014","1.1"," 1,352 "
"Black","2015","1.1"," 1,373 "
"Black","2016","1.2"," 1,433 "
"Black","2017","1.2"," 1,432 "
"Mixed","2007","1.0"," 1,419 "
"Mixed","2008","1.1"," 1,525 "
"Mixed","2009","1.2"," 1,699 "
"Mixed","2010","1.3"," 1,844 "
"Mixed","2011","1.3"," 1,838 "
"Mixed","2012","1.4"," 1,871 "
"Mixed","2013","1.5"," 1,865 "
"Mixed","2014","1.5"," 1,922 "
"Mixed","2015","1.6"," 2,028 "
"Mixed","2016","1.7"," 2,096 "
"Mixed","2017","1.8"," 2,185 "
"White","2007","96.1"," 134,372 "
"White","2008","95.9"," 134,000 "
"White","2009","95.6"," 135,651 "
"White","2010","95.3"," 135,293 "
"White","2011","95.2"," 130,870 "
"White","2012","95.0"," 125,579 "
"White","2013","94.9"," 121,086 "
"White","2014","94.7"," 119,071 "
"White","2015","94.4"," 117,757 "
"White","2016","94.1"," 114,437 "
"White","2017","93.7"," 112,954 "
"Other","2007","0.5","632"
"Other","2008","0.5","656"
"Other","2009","0.5","689"
"Other","2010","0.5","745"
"Other","2011","0.5","754"
"Other","2012","0.6","766"
"Other","2013","0.6","749"
"Other","2014","0.6","776"
"Other","2015","0.6","785"
"Other","2016","0.7","808"
"Other","2017","0.7","851"
"Unknown","2007","N/A"," 1,999 "
"Unknown","2008","N/A"," 1,920 "
"Unknown","2009","N/A"," 1,839 "
"Unknown","2010","N/A"," 1,799 "
"Unknown","2011","N/A"," 1,625 "
"Unknown","2012","N/A"," 1,858 "
"Unknown","2013","N/A"," 1,961 "
"Unknown","2014","N/A"," 2,124 "
"Unknown","2015","N/A"," 2,079 "
"Unknown","2016","N/A"," 2,411 "
"Unknown","2017","N/A"," 2,616 "
