"Title","NHS workforce by ethnicity"
"Location","England"
"Time period","2017"
"Data source","NHS Workforce Statistics"
"Data source link","https://digital.nhs.uk/catalogue/PUB30165"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Ethnicity","%","Headcount"
"All","100.0","1,150,296"
"Asian","9.3","107,531"
"Black","5.7","65,956"
"Chinese","0.5","6,303"
"Mixed","1.6","18,614"
"White","80.7","928,146"
"Other","2.1","23,746"
"Unknown","N/A","53,251"
