"Title","Visits to the natural environment in the previous 7 days by ethnicity"
"Location","England"
"Time period","2009 to 2016 (combined)"
"Data source","Monitor of Engagement with the Natural Environment"
"Data source link","https://www.gov.uk/government/statistics/monitor-of-engagement-with-the-natural-environment-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","%"
"All","41.9"
"Asian","25.7"
"Black","26.2"
"Chinese","27.6"
"Mixed","38.8"
"White","44.2"
"Other","30.2"
"Unknown","37.1"
