"Title","Visits to the natural environment in the previous 7 days by ethnicity and socio-economic group"
"Location","England"
"Time period","2009 to 2016 (combined)"
"Data source","Monitor of Engagement with the Natural Environment"
"Data source link","https://www.gov.uk/government/statistics/monitor-of-engagement-with-the-natural-environment-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Socio-economic group","Ethnicity","%"
"Higher and intermediate managerial","White","54.7"
"Higher and intermediate managerial","Other","35.0"
"Supervisory and junior managerial","White","46.8"
"Supervisory and junior managerial","Other","28.4"
"Skilled manual workers","White","41.7"
"Skilled manual workers","Other","24.4"
"Semi and unskilled manual workers","White","32.7"
"Semi and unskilled manual workers","Other","22.6"
