"Title","Visits to the natural environment in the previous 7 days by ethnicity and type of location"
"Location","England"
"Time period","2009 to 2016 (combined)"
"Data source","Monitor of Engagement with the Natural Environment: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/monitor-of-engagement-with-the-natural-environment-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","Urban","Rural"
"Ethnicity","%","%"
"White","42.7","50.8"
"Other","27.0","40.3"
