"Frequency","Ethnicity","%"
"At least once a week","All","55.8"
"At least once a week","White","58.4"
"At least once a week","Other","39.9"
"Less often","All","-"
"Less often","White","33.5"
"Less often","Other","46.9"
"Never","All","-"
"Never","White","8.1"
"Never","Other","13.2"
