"","White British","","","Other than White British","",""
"","%","Under-occupying households ('000s)","All households ('000s)","%","Under-occupying households ('000s)","All households ('000s)"
"Higher managerial, administrative and professional occupations","50","3,803","7,652","27","397","1,467"
"Intermediate occupations","40","1,537","3,887","18","130","740"
"Routine and manual occupations","29","1,783","6,195","14","184","1,346"
