"Ethnicity","Socio-economic group","%","Under-occupying households ('000s)","All households ('000s)"
"White British","Higher managerial, administrative and professional occupations","50","3,803","7,652"
"White British","Intermediate occupations","40","1,537","3,887"
"White British","Routine and manual occupations","29","1,783","6,195"
"Other than White British","Higher managerial, administrative and professional occupations","27","397","1,467"
"Other than White British","Intermediate occupations","18","130","740"
"Other than White British","Routine and manual occupations","14","184","1,346"
