"Title","Judges by ethnicity"
"Location","United Kingdom"
"Time period","April 2015 and April 2016"
"Data source","Judicial Statistics https://www.judiciary.gov.uk/publications/judicial-statistics-2016/"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Court/Tribunal","Ethnic group","Count"
"Court","Any other Ethnicity","28"
"Tribunal","Any other Ethnicity","90"
"Court","Asian or Asian British","79"
"Tribunal","Asian or Asian British","390"
"Court","Black or Black British","26"
"Tribunal","Black or Black British","106"
"Court","Mixed","41"
"Tribunal","Mixed","64"
"Court","Unknown","522"
"Tribunal","Unknown","662"
"Court","White","2506"
"Tribunal","White","4130"
