"Title","Percentage of young people not in employment, education, or training by ethnicity, sex and economic activity"
"Location","UK"
"Time period","2014, 2015 and 2016 (combined)"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/aboutus/whatwedo/paidservices/virtualmicrodatalaboratoryvml"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"","Male","","Female",""
"Ethnicity","Unemployment","Economically Inactive","Unemployment","Economically Inactive"
"All","6.8","5.0","4.4","9.4"
"Bangladeshi"," ? "," ? ","9.0","10.3"
"Chinese"," ? "," ! "," ? "," ? "
"Indian","6.1","4.1","3.5","8.2"
"Pakistani","10.6","5.1","6.1","10.7"
"Asian other"," ? "," ? "," ? "," ? "
"Black","8.9","5.4","5.5","7.4"
"Mixed","8.5","5.9","6.2","7.5"
"White","6.8","5.0","4.3","9.7"
"Other"," ? ","4.1"," ? ","8.3"
