"Title","Percentage of young people not in employment, education or training by ethnicity and sex"
"Location","UK"
"Time period","2014, 2015 and 2016 (combined)"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/aboutus/whatwedo/paidservices/virtualmicrodatalaboratoryvml"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","-"

"","Male","Female"
"Ethnicity","%","%"
"All","11.8","13.8"
"Bangladeshi","10.2","19.2"
"Chinese"," ? "," ? "
"Indian","10.2","11.7"
"Pakistani","15.8","16.8"
"Asian other","5.6","7.3"
"Black","14.3","12.9"
"Mixed","14.4","13.7"
"White","11.9","14.0"
"Other","7.3","11.8"
