"Title","Median pay by ethnicity and region"
"Location","United Kingdom"
"Time period","2016"
"Data source","Annual Civil Service Employment Survey https://www.ons.gov.uk/releases/civilservicestatistics2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Year","Ethnicity","Region","Number","Percent","Value","Order"
"2016","All Groups","All Regions","418,340","N/A","25400","1"
"2016","White","All Regions","284,140","88.80%","25600","6"
"2016","Mixed","All Regions","4,460","1.40%","27000","5"
"2016","Asian","All Regions","18,690","5.80%","25000","2"
"2016","Black","All Regions","9,950","3.10%","26500","3"
"2016","Chinese","All Regions","880","0.30%","27200","4"
"2016","Other ethnic group","All Regions","1,710","0.50%","28000","7"
"2016","All Groups","North East","28,370","N/A","20190","1"
"2016","White","North East","21,700","97.80%","22200","6"
"2016","Mixed","North East","140","0.60%","21600","5"
"2016","Asian","North East","200","0.90%","20100","2"
"2016","Black","North East","60","0.30%","19800","3"
"2016","Chinese","North East","30","0.10%","19800","4"
"2016","Other ethnic group","North East","50","0.20%","22800","7"
"2016","All Groups","North West","51,690","N/A","23200","1"
"2016","White","North West","38,030","94.30%","23500","6"
"2016","Mixed","North West","430","1.10%","22400","5"
"2016","Asian","North West","1,270","3.20%","19800","2"
"2016","Black","North West","340","0.80%","20200","3"
"2016","Chinese","North West","100","0.20%","20200","4"
"2016","Other ethnic group","North West","140","0.30%","23500","7"
"2016","All Groups","Yorkshire and The Humber","31,360","N/A","24700","1"
"2016","White","Yorkshire and The Humber","23,330","91.80%","25200","6"
"2016","Mixed","Yorkshire and The Humber","270","1.10%","23400","5"
"2016","Asian","Yorkshire and The Humber","1,360","5.40%","20300","2"
"2016","Black","Yorkshire and The Humber","300","1.20%","23200","3"
"2016","Chinese","Yorkshire and The Humber","50","0.20%","23200","4"
"2016","Other ethnic group","Yorkshire and The Humber","100","0.40%","28100","7"
"2016","All Groups","East Midlands","19,420","N/A","24000","1"
"2016","White","East Midlands","13,270","88.20%","24400","6"
"2016","Mixed","East Midlands","200","1.30%","22400","5"
"2016","Asian","East Midlands","1,230","8.20%","19800","2"
"2016","Black","East Midlands","290","1.90%","21100","3"
"2016","Chinese","East Midlands","10","0.10%","22300","4"
"2016","Other ethnic group","East Midlands","50","0.30%","23900","7"
"2016","All Groups","West Midlands","26,630","N/A","24200","1"
"2016","White","West Midlands","16,980","82.40%","25000","6"
"2016","Mixed","West Midlands","280","1.40%","22400","5"
"2016","Asian","West Midlands","2,430","11.80%","20300","2"
"2016","Black","West Midlands","790","3.80%","22400","3"
"2016","Chinese","West Midlands","30","0.10%","23800","4"
"2016","Other ethnic group","West Midlands","100","0.50%","24400","7"
"2016","All Groups","East","22,110","N/A","25300","1"
"2016","White","East","15,670","90.90%","25900","6"
"2016","Mixed","East","240","1.40%","25500","5"
"2016","Asian","East","790","4.60%","23200","2"
"2016","Black","East","370","2.10%","25900","3"
"2016","Chinese","East","50","0.30%","30800","4"
"2016","Other ethnic group","East","110","0.60%","27000","7"
"2016","All Groups","London","78,230","N/A","33000","1"
"2016","White","London","39,130","67.00%","36700","6"
"2016","Mixed","London","1,780","3.00%","31200","5"
"2016","Asian","London","9,500","16.30%","27800","2"
"2016","Black","London","6,910","11.80%","27300","3"
"2016","Chinese","London","390","0.70%","31700","4"
"2016","Other ethnic group","London","730","1.20%","30400","7"
"2016","All Groups","South East","39,060","N/A","26200","1"
"2016","White","South East","28,220","93.60%","26400","6"
"2016","Mixed","South East","370","1.20%","25700","5"
"2016","Asian","South East","920","3.10%","24200","2"
"2016","Black","South East","420","1.40%","24400","3"
"2016","Chinese","South East","80","0.30%","24000","4"
"2016","Other ethnic group","South East","150","0.50%","26100","7"
"2016","All Groups","South West","37,110","N/A","28300","1"
"2016","White","South West","27,680","96.40%","29200","6"
"2016","Mixed","South West","300","1.00%","29200","5"
"2016","Asian","South West","340","1.20%","28000","2"
"2016","Black","South West","220","0.80%","25100","3"
"2016","Chinese","South West","60","0.20%","30400","4"
"2016","Other ethnic group","South West","110","0.40%","30000","7"
"2016","All Groups","Wales","31,170","N/A","23600","1"
"2016","White","Wales","24,330","97.50%","24300","6"
"2016","Mixed","Wales","210","0.80%","23500","5"
"2016","Asian","Wales","200","0.80%","22200","2"
"2016","Black","Wales","90","0.40%","21700","3"
"2016","Chinese","Wales","40","0.20%","23400","4"
"2016","Other ethnic group","Wales","80","0.30%","22200","7"
"2016","All Groups","Scotland","43,050","N/A","23500","1"
"2016","White","Scotland","29,880","97.90%","24400","6"
"2016","Mixed","Scotland","160","0.50%","24800","5"
"2016","Asian","Scotland","290","1.00%","20400","2"
"2016","Black","Scotland","90","0.30%","18600","3"
"2016","Chinese","Scotland","30","0.10%","20200","4"
"2016","Other ethnic group","Scotland","70","0.20%","25200","7"
"2016","All Groups","Northern Ireland","3,530","N/A","23200","1"
"2016","White","Northern Ireland","2,980","99.30%","23200","6"
"2016","Mixed","Northern Ireland","10","0.30%","23600","5"
"2016","Asian","Northern Ireland","10","0.30%","26600","2"
"2016","Black","Northern Ireland","#","#","#","3"
"2016","Chinese","Northern Ireland","#","#","#","4"
"2016","Other ethnic group","Northern Ireland","#","#","#","7"
