"Title","Percentage of staff by ethnicity and grade"
"Location","United Kingdom"
"Time period","2016"
"Data source","Annual Civil Service Employment Survey https://www.ons.gov.uk/releases/civilservicestatistics2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Grade","Value","Order","Grade_order"
"White","Senior Civil Service","93.10%","5","5"
"Mixed","Senior Civil Service","1.30%","4","5"
"Asian or Asian British","Senior Civil Service","3.40%","1","5"
"Black or Black British","Senior Civil Service","1.30%","2","5"
"Chinese","Senior Civil Service","0.30%","3","5"
"Other ethnic group","Senior Civil Service","0.50%","6","5"
"White","Grades 6 & 7","91.80%","5","4"
"Mixed","Grades 6 & 7","1.70%","4","4"
"Asian or Asian British","Grades 6 & 7","3.80%","1","4"
"Black or Black British","Grades 6 & 7","1.60%","2","4"
"Chinese","Grades 6 & 7","0.30%","3","4"
"Other ethnic group","Grades 6 & 7","0.70%","6","4"
"White","Senior and higher executive officer","90.10%","5","3"
"Mixed","Senior and higher executive officer","1.50%","4","3"
"Asian or Asian British","Senior and higher executive officer","4.90%","1","3"
"Black or Black British","Senior and higher executive officer","2.70%","2","3"
"Chinese","Senior and higher executive officer","0.30%","3","3"
"Other ethnic group","Senior and higher executive officer","0.50%","6","3"
"White","Executive officer","87.20%","5","2"
"Mixed","Executive officer","1.40%","4","2"
"Asian or Asian British","Executive officer","6.80%","1","2"
"Black or Black British","Executive officer","3.80%","2","2"
"Chinese","Executive officer","0.30%","3","2"
"Other ethnic group","Executive officer","0.50%","6","2"
"White","Administrative officers and assistants","88.30%","5","1"
"Mixed","Administrative officers and assistants","1.20%","4","1"
"Asian or Asian British","Administrative officers and assistants","6.50%","1","1"
"Black or Black British","Administrative officers and assistants","3.30%","2","1"
"Chinese","Administrative officers and assistants","0.20%","3","1"
"Other ethnic group","Administrative officers and assistants","0.50%","6","1"
