"Title","Employment tribunal claims by ethnicity"
"Location","England, Wales and Scotland"
"Time period","2007 and 2012"
"Data source","Survey of employment tribunals applications"
"Data source link","https://www.gov.uk/government/publications/survey-of-employment-tribunal-applications-2013"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","1 February 2010"

"","All","","Unfair dismissal","","Breach of contract","","Wages Act","","Discrimination","","Other (including redundancy payments)",""
"Ethnicity","2007","2012","2007","2012","2007","2012","2007","2012","2007","2012","2007","2012"
"Asian","5","5","3","5","4","5","5","3","11","9","3","3"
"Black","5","7","4","7","4","8","5","6","8","12","3","4"
"Mixed","2","2","?","?","2","3","3","3","3","3","2","?"
"White","86","82","91","85","86","81","82","85","75","73","91","88"
"Other","2","?","?","?","2","?","2","?","3","?","?","4"
"Unknown","?","2","?","?","?","2","3","3","2","2","?","?"
