"Region","Ethnicity","%"
"All","All","100.0"
"All","Asian","100.0"
"All","Bangladeshi","100.0"
"All","Chinese","100.0"
"All","Indian","100.0"
"All","Pakistani","100.0"
"All","Asian other","100.0"
"All","Black","100.0"
"All","Black African","100.0"
"All","Black Caribbean","100.0"
"All","Black other","100.0"
"All","Mixed","100.0"
"All","Mixed White/Asian","100.0"
"All","Mixed White/Black African","100.0"
"All","Mixed White/Black Caribbean","100.0"
"All","Mixed other","100.0"
"All","White","100.0"
"All","White British","100.0"
"All","White Irish","100.0"
"All","White Gypsy/Traveller","100.0"
"All","White other","100.0"
"All","Other","100.0"
"All","Arab","100.0"
"All","Any other","100.0"
"East","All","10.4"
"East","Asian","6.6"
"East","Bangladeshi","7.4"
"East","Chinese","8.5"
"East","Indian","6.1"
"East","Pakistani","5.9"
"East","Asian other","7.0"
"East","Black","6.3"
"East","Black African","7.1"
"East","Black Caribbean","5.7"
"East","Black other","5.0"
"East","Mixed","9.2"
"East","Mixed White/Asian","9.4"
"East","Mixed White/Black African","9.3"
"East","Mixed White/Black Caribbean","8.7"
"East","Mixed other","9.4"
"East","White","11.0"
"East","White British","11.0"
"East","White Irish","10.5"
"East","White Gypsy/Traveller","14.2"
"East","White other","10.5"
"East","Other","5.1"
"East","Arab","5.5"
"East","Any other","4.5"
"East Midlands","All","8.1"
"East Midlands","Asian","7.0"
"East Midlands","Bangladeshi","3.0"
"East Midlands","Chinese","6.2"
"East Midlands","Indian","12.0"
"East Midlands","Pakistani","4.4"
"East Midlands","Asian other","4.5"
"East Midlands","Black","4.4"
"East Midlands","Black African","4.2"
"East Midlands","Black Caribbean","4.9"
"East Midlands","Black other","3.9"
"East Midlands","Mixed","7.0"
"East Midlands","Mixed White/Asian","6.3"
"East Midlands","Mixed White/Black African","5.3"
"East Midlands","Mixed White/Black Caribbean","9.5"
"East Midlands","Mixed other","5.3"
"East Midlands","White","8.4"
"East Midlands","White British","8.6"
"East Midlands","White Irish","5.4"
"East Midlands","White Gypsy/Traveller","5.9"
"East Midlands","White other","5.8"
"East Midlands","Other","4.6"
"East Midlands","Arab","4.8"
"East Midlands","Any other","4.2"
"London","All","14.6"
"London","Asian","35.9"
"London","Bangladeshi","49.7"
"London","Chinese","31.6"
"London","Indian","38.4"
"London","Pakistani","19.9"
"London","Asian other","47.7"
"London","Black","58.4"
"London","Black African","58.0"
"London","Black Caribbean","57.9"
"London","Black other","60.7"
"London","Mixed","33.1"
"London","Mixed White/Asian","29.7"
"London","Mixed White/Black African","39.5"
"London","Mixed White/Black Caribbean","28.0"
"London","Mixed other","41.0"
"London","White","10.1"
"London","White British","8.1"
"London","White Irish","33.1"
"London","White Gypsy/Traveller","14.2"
"London","White other","41.6"
"London","Other","49.9"
"London","Arab","52.5"
"London","Any other","46.0"
"North East","All","4.6"
"North East","Asian","1.8"
